formula_input_value,datasource,metadata,gas,parameter_code,parameter_name,year,formula_input_units,region,actor_id,rnk,methodology_name,gpc_refno,formula_name,methodology_id,formulainput_id
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-digester-for-sludge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,4622aac5-fbd1-4fd4-8bbc-0cb8e9a50529
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-reactor'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,8895d809-8b13-42c7-88c4-e2d70513dc97
0.2,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-shallow-lagoon'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,7b5f1c01-62d8-435b-9e64-c086777abd09
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-deep-lagoon'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,ba54d597-6d1a-4c6d-bf46-b360cf9821d0
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-none', 'treatment-type': 'treatment-type-sea-river-lake-discharge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,fcb6f6e1-465e-4378-9c97-a4060812c0ac
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-sewer', 'treatment-type': 'treatment-type-stagnant-sewer'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,f5367751-2406-4f8c-8905-635073675fd0
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-septic-system', 'treatment-type': 'treatment-type-septic-system'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,564088b0-ffee-4133-a047-ba0a30f38595
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-dry-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,2e21fa87-f875-42e5-94d3-4a93b3dd7568
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,443183f9-e5f3-4815-9a8b-ea2fe8e9bf00
0.7,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-wet-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,c75163ee-9315-47e4-8f1f-b7ba199c4150
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-sediment-removal'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,79619470-6116-4189-a45f-d5410da7b9d8
0.3,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': nan}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,77a04637-9354-4dfa-a0ce-0b65e4469c64
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-digester-for-sludge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,c0cc7f60-e6ad-4135-8d0c-80a58e2be019
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-reactor'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,47c6f48f-5136-40a2-b79d-c62b796971c1
0.2,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-shallow-lagoon'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,a3b02f54-e052-4ea4-9f2a-dcebd48b8d05
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-deep-lagoon'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-industrial-calculator-activity,III.4.2,industral-wastewater,946471de-43e5-39f4-ae8a-befa344bfaee,42ceaceb-068a-48a4-a6de-795e19d1a985
