GPC_refno,activity_name,activity_units,activity_value,emission_factor_units,emission_factor_value,emissions_units,emissions_value,gas_name,id,region_code,region_name,source_name,temporal_granularity,year
I.2.1,natural gas consumption by official entities,TJ,199.42783662000002,kg/TJ,56100.0,kg,11187901.634382002,CO2,17e6f6a2-069a-346a-bce4-ed080c7b8347,AR-S,SANTA FE,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,72102.05797242,kg/TJ,56100.0,kg,4044925452.2527623,CO2,3d85ab5a-88d0-3f07-809a-4cb865730371,AR-S,SANTA FE,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,316.56200808000006,kg/TJ,56100.0,kg,17759128.653288003,CO2,fad4a5f2-19d4-381d-8602-2b83e1c921d2,AR-G,SANTIAGO DEL ESTERO,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,1220.1184234200002,kg/TJ,56100.0,kg,68448643.553862,CO2,ebfec5ff-cfe6-3d64-92a3-a34c4fdc236d,AR-G,SANTIAGO DEL ESTERO,ENARGAS,annual,2018
I.2.1,natural gas consumption by official entities,TJ,45.05375742222001,kg/TJ,56100.0,kg,2527515.7913865424,CO2,b68a9707-7853-385b-a3eb-079d11466047,AR-G,SANTIAGO DEL ESTERO,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,932.4794854806001,kg/TJ,56100.0,kg,52312099.135461666,CO2,12e83cdd-2dce-3fa0-9bc3-38cd5bcef2b4,AR-G,SANTIAGO DEL ESTERO,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,2825.3509572600005,kg/TJ,56100.0,kg,158502188.70228603,CO2,0ebdee0e-8f3c-33d4-bdc5-069a2f5b352e,AR-V,TIERRA DEL FUEGO,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,12237.036866940001,kg/TJ,56100.0,kg,686497768.235334,CO2,95c7b1ca-f63b-3d46-9832-8d7cdf45670a,AR-V,TIERRA DEL FUEGO,ENARGAS,annual,2018
I.2.1,natural gas consumption by official entities,TJ,1269.2454837000002,kg/TJ,56100.0,kg,71204671.63557002,CO2,1d718edb-64f9-31f8-80a4-d7447a9bfa6c,AR-V,TIERRA DEL FUEGO,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,771.7074825600001,kg/TJ,56100.0,kg,43292789.771616004,CO2,78e72c8f-e82a-3e50-a30c-c7dd8e11138c,AR-V,TIERRA DEL FUEGO,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,786.0841547211002,kg/TJ,56100.0,kg,44099321.07985372,CO2,a6b46b7b-87f9-33a2-8dfb-15650af84121,AR-T,TUCUMAN,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,4450.31995668,kg/TJ,56100.0,kg,249662949.569748,CO2,f2c489c0-c551-3217-b754-00e66cc7e2e3,AR-T,TUCUMAN,ENARGAS,annual,2018
I.2.1,natural gas consumption by official entities,TJ,78.56709346380002,kg/TJ,56100.0,kg,4407613.943319181,CO2,a974c726-8033-36d1-a875-352b5ef3d2f8,AR-T,TUCUMAN,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,12182.842673494022,kg/TJ,56100.0,kg,683457473.9830147,CO2,1d7c1ad4-25f9-3308-9eb3-8d7341eb0ee1,AR-T,TUCUMAN,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,20654.135942834044,kg/TJ,56100.0,kg,1158697026.3929899,CO2,57e512cf-e4dc-33d2-b823-6b4d119593b7,AR-B,BUENOS AIRES,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,138548.80613006224,kg/TJ,56100.0,kg,7772588023.896491,CO2,f567784d-0940-3b7e-9460-4ff06488a5a1,AR-B,BUENOS AIRES,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,5355.793183785601,kg/TJ,56100.0,kg,300459997.61037225,CO2,2cc4fdd3-dad0-367b-8976-ef39fa0556df,AR-B,BUENOS AIRES,ENARGAS,annual,2019
