"";"Provincia";"Tipo de Usuario";"Año";"Consumo de Gas"
"264";"BUENOS AIRES";"ENTES OFICIALES";"2020";101700,85
"265";"BUENOS AIRES";"GNC";"2020";821790,4
"266";"BUENOS AIRES";"INDUSTRIALES";"2020";5747593,349
"267";"BUENOS AIRES";"SDB";"2020";260605,17
"268";"CAPITAL FEDERAL";"CENTRALES ELECTRICAS";"2020";2365369
"269";"CAPITAL FEDERAL";"COMERCIALES";"2020";96662
"270";"CAPITAL FEDERAL";"RESIDENCIALES";"2020";939344
"271";"CAPITAL FEDERAL";"ENTES OFICIALES";"2020";25062
"272";"CAPITAL FEDERAL";"GNC";"2020";128039
"273";"CAPITAL FEDERAL";"INDUSTRIALES";"2020";56104
"274";"CATAMARCA";"COMERCIALES";"2020";2305
"275";"CATAMARCA";"RESIDENCIALES";"2020";12212
"276";"CATAMARCA";"ENTES OFICIALES";"2020";217
"277";"CATAMARCA";"GNC";"2020";12871
"278";"CATAMARCA";"INDUSTRIALES";"2020";81101
"279";"CHUBUT";"CENTRALES ELECTRICAS";"2020";140878
"280";"CHUBUT";"COMERCIALES";"2020";57703
"281";"CHUBUT";"RESIDENCIALES";"2020";647177
"282";"CHUBUT";"ENTES OFICIALES";"2020";29259
"283";"CHUBUT";"GNC";"2020";1131
"284";"CHUBUT";"INDUSTRIALES";"2020";719504
"285";"CORDOBA";"CENTRALES ELECTRICAS";"2020";402721
"286";"CORDOBA";"COMERCIALES";"2020";60715
"287";"CORDOBA";"RESIDENCIALES";"2020";563578
"288";"CORDOBA";"ENTES OFICIALES";"2020";10641
"289";"CORDOBA";"GNC";"2020";293435
"290";"CORDOBA";"INDUSTRIALES";"2020";476449
"291";"CORDOBA";"SDB";"2020";68716
"292";"CORRIENTES";"COMERCIALES";"2020";58
"293";"CORRIENTES";"RESIDENCIALES";"2020";0
"295";"CORRIENTES";"GNC";"2020";351
"296";"CORRIENTES";"INDUSTRIALES";"2020";792
"297";"ENTRE RIOS";"COMERCIALES";"2020";13579
"298";"ENTRE RIOS";"RESIDENCIALES";"2020";85189
"299";"ENTRE RIOS";"ENTES OFICIALES";"2020";1543
"300";"ENTRE RIOS";"GNC";"2020";33384
"301";"ENTRE RIOS";"INDUSTRIALES";"2020";113983
"302";"JUJUY";"CENTRALES ELECTRICAS";"2020";33583
"303";"JUJUY";"COMERCIALES";"2020";6386
"304";"JUJUY";"RESIDENCIALES";"2020";48706
"305";"JUJUY";"ENTES OFICIALES";"2020";1628
"306";"JUJUY";"GNC";"2020";34310
"307";"JUJUY";"INDUSTRIALES";"2020";109038
"308";"JUJUY";"SDB";"2020";4541
"309";"LA PAMPA";"COMERCIALES";"2020";15723
"310";"LA PAMPA";"RESIDENCIALES";"2020";251860
"311";"LA PAMPA";"ENTES OFICIALES";"2020";10987
"312";"LA PAMPA";"GNC";"2020";6296
"313";"LA PAMPA";"INDUSTRIALES";"2020";28900
"314";"LA RIOJA";"CENTRALES ELECTRICAS";"2020";9557
"315";"LA RIOJA";"COMERCIALES";"2020";1677
"316";"LA RIOJA";"RESIDENCIALES";"2020";8726
"317";"LA RIOJA";"ENTES OFICIALES";"2020";279
"318";"LA RIOJA";"GNC";"2020";3539
"319";"LA RIOJA";"INDUSTRIALES";"2020";10073
"320";"LA RIOJA";"SDB";"2020";0
"321";"MENDOZA";"CENTRALES ELECTRICAS";"2020";630306
"322";"MENDOZA";"COMERCIALES";"2020";31651
"323";"MENDOZA";"RESIDENCIALES";"2020";431840
"324";"MENDOZA";"ENTES OFICIALES";"2020";11482
"325";"MENDOZA";"GNC";"2020";111459
"326";"MENDOZA";"INDUSTRIALES";"2020";406868
"327";"MENDOZA";"SDB";"2020";33362
"328";"NEUQUEN";"CENTRALES ELECTRICAS";"2020";10880
"329";"NEUQUEN";"COMERCIALES";"2020";50232
"330";"NEUQUEN";"RESIDENCIALES";"2020";575298
"331";"NEUQUEN";"ENTES OFICIALES";"2020";22352
"332";"NEUQUEN";"GNC";"2020";5758
"333";"NEUQUEN";"INDUSTRIALES";"2020";267634
"334";"NEUQUEN";"SDB";"2020";3378
"335";"RIO NEGRO";"CENTRALES ELECTRICAS";"2020";6624
"336";"RIO NEGRO";"COMERCIALES";"2020";64732
"337";"RIO NEGRO";"RESIDENCIALES";"2020";658901
"338";"RIO NEGRO";"ENTES OFICIALES";"2020";24932
"339";"RIO NEGRO";"GNC";"2020";10735
"340";"RIO NEGRO";"INDUSTRIALES";"2020";159363
"341";"SALTA";"CENTRALES ELECTRICAS";"2020";112115
"342";"SALTA";"COMERCIALES";"2020";9180
"343";"SALTA";"RESIDENCIALES";"2020";113235
"344";"SALTA";"ENTES OFICIALES";"2020";1661
"345";"SALTA";"GNC";"2020";57435
"346";"SALTA";"INDUSTRIALES";"2020";119865
"347";"SAN JUAN";"CENTRALES ELECTRICAS";"2020";13144
"348";"SAN JUAN";"COMERCIALES";"2020";8212
"349";"SAN JUAN";"RESIDENCIALES";"2020";97561
"350";"SAN JUAN";"ENTES OFICIALES";"2020";1918
"351";"SAN JUAN";"GNC";"2020";39553
"352";"SAN JUAN";"INDUSTRIALES";"2020";132475
"353";"SAN JUAN";"SDB";"2020";4262
"354";"SAN LUIS";"COMERCIALES";"2020";18209
"355";"SAN LUIS";"RESIDENCIALES";"2020";80096
"356";"SAN LUIS";"ENTES OFICIALES";"2020";2935
"357";"SAN LUIS";"GNC";"2020";35152
"358";"SAN LUIS";"INDUSTRIALES";"2020";80690
"359";"SAN LUIS";"SDB";"2020";23586
"360";"SANTA CRUZ";"CENTRALES ELECTRICAS";"2020";17050
"361";"SANTA CRUZ";"COMERCIALES";"2020";30177
"362";"SANTA CRUZ";"RESIDENCIALES";"2020";333791
"363";"SANTA CRUZ";"ENTES OFICIALES";"2020";23906
"364";"SANTA CRUZ";"INDUSTRIALES";"2020";1320
"365";"SANTA CRUZ";"SDB";"2020";157744
"366";"SANTA FE";"CENTRALES ELECTRICAS";"2020";2982,14
"367";"SANTA FE";"COMERCIALES";"2020";123842,344
"368";"SANTA FE";"RESIDENCIALES";"2020";487901
"369";"SANTA FE";"ENTES OFICIALES";"2020";11093,1
"370";"SANTA FE";"GNC";"2020";155113,77
"371";"SANTA FE";"INDUSTRIALES";"2020";1311083,491
"372";"SANTA FE";"SDB";"2020";81470,3
"373";"SANTIAGO DEL ESTERO";"CENTRALES ELECTRICAS";"2020";6186
"374";"SANTIAGO DEL ESTERO";"COMERCIALES";"2020";5265
"375";"SANTIAGO DEL ESTERO";"RESIDENCIALES";"2020";31535
"376";"SANTIAGO DEL ESTERO";"ENTES OFICIALES";"2020";815
"377";"SANTIAGO DEL ESTERO";"GNC";"2020";27541
"378";"SANTIAGO DEL ESTERO";"INDUSTRIALES";"2020";11561
"379";"TIERRA DEL FUEGO";"CENTRALES ELECTRICAS";"2020";178308
"380";"TIERRA DEL FUEGO";"COMERCIALES";"2020";63647
"381";"TIERRA DEL FUEGO";"RESIDENCIALES";"2020";381328
"382";"TIERRA DEL FUEGO";"ENTES OFICIALES";"2020";30645
"383";"TIERRA DEL FUEGO";"GNC";"2020";617
"384";"TIERRA DEL FUEGO";"INDUSTRIALES";"2020";18327
"385";"TUCUMAN";"CENTRALES ELECTRICAS";"2020";213350
"386";"TUCUMAN";"COMERCIALES";"2020";14637
"387";"TUCUMAN";"RESIDENCIALES";"2020";113493
"388";"TUCUMAN";"ENTES OFICIALES";"2020";1460
"389";"TUCUMAN";"GNC";"2020";89067
"390";"TUCUMAN";"INDUSTRIALES";"2020";198322
"391";"BUENOS AIRES";"CENTRALES ELECTRICAS";"2021";1834514,85
"392";"BUENOS AIRES";"COMERCIALES";"2021";392443,13
"393";"BUENOS AIRES";"RESIDENCIALES";"2021";3937973,21
"394";"BUENOS AIRES";"ENTES OFICIALES";"2021";123564,31
"395";"BUENOS AIRES";"GNC";"2021";1046191,51
"396";"BUENOS AIRES";"INDUSTRIALES";"2021";4748535,27
"397";"BUENOS AIRES";"SDB";"2021";278374,21
"398";"CAPITAL FEDERAL";"CENTRALES ELECTRICAS";"2021";1984671
"399";"CAPITAL FEDERAL";"COMERCIALES";"2021";111866
"400";"CAPITAL FEDERAL";"RESIDENCIALES";"2021";930666
"401";"CAPITAL FEDERAL";"ENTES OFICIALES";"2021";35736
"402";"CAPITAL FEDERAL";"GNC";"2021";166926
"403";"CAPITAL FEDERAL";"INDUSTRIALES";"2021";65601
"404";"CATAMARCA";"COMERCIALES";"2021";2612
"405";"CATAMARCA";"RESIDENCIALES";"2021";12101
"406";"CATAMARCA";"ENTES OFICIALES";"2021";164
"407";"CATAMARCA";"GNC";"2021";14591
"408";"CATAMARCA";"INDUSTRIALES";"2021";85469
"409";"CHUBUT";"CENTRALES ELECTRICAS";"2021";139687
"410";"CHUBUT";"COMERCIALES";"2021";67546
"411";"CHUBUT";"RESIDENCIALES";"2021";624599
"412";"CHUBUT";"ENTES OFICIALES";"2021";38622
"413";"CHUBUT";"GNC";"2021";1375
"414";"CHUBUT";"INDUSTRIALES";"2021";581282
"415";"CORDOBA";"CENTRALES ELECTRICAS";"2021";259922
"416";"CORDOBA";"COMERCIALES";"2021";72161
"417";"CORDOBA";"RESIDENCIALES";"2021";562622
"418";"CORDOBA";"ENTES OFICIALES";"2021";13907
"419";"CORDOBA";"GNC";"2021";364283
"420";"CORDOBA";"INDUSTRIALES";"2021";618559
"421";"CORDOBA";"SDB";"2021";80053
"422";"CORRIENTES";"COMERCIALES";"2021";75
"423";"CORRIENTES";"RESIDENCIALES";"2021";1
"424";"CORRIENTES";"ENTES OFICIALES";"2021";0
"425";"CORRIENTES";"GNC";"2021";322
"426";"CORRIENTES";"INDUSTRIALES";"2021";3230
"427";"ENTRE RIOS";"COMERCIALES";"2021";16829
"428";"ENTRE RIOS";"RESIDENCIALES";"2021";88736
"429";"ENTRE RIOS";"ENTES OFICIALES";"2021";1659
"430";"ENTRE RIOS";"GNC";"2021";44390
"431";"ENTRE RIOS";"INDUSTRIALES";"2021";125267
"432";"JUJUY";"CENTRALES ELECTRICAS";"2021";24693
"433";"JUJUY";"COMERCIALES";"2021";9975
"434";"JUJUY";"RESIDENCIALES";"2021";52098
"435";"JUJUY";"ENTES OFICIALES";"2021";2777
"436";"JUJUY";"GNC";"2021";43612
"437";"JUJUY";"INDUSTRIALES";"2021";118556,76884
"438";"JUJUY";"SDB";"2021";2664
"439";"LA PAMPA";"COMERCIALES";"2021";17600
"440";"LA PAMPA";"RESIDENCIALES";"2021";250394
"441";"LA PAMPA";"ENTES OFICIALES";"2021";14122
"442";"LA PAMPA";"GNC";"2021";7541
"443";"LA PAMPA";"INDUSTRIALES";"2021";33273
"444";"LA RIOJA";"CENTRALES ELECTRICAS";"2021";2743
"445";"LA RIOJA";"COMERCIALES";"2021";1840
"446";"LA RIOJA";"RESIDENCIALES";"2021";8413
"447";"LA RIOJA";"ENTES OFICIALES";"2021";301
"448";"LA RIOJA";"GNC";"2021";4909
"449";"LA RIOJA";"INDUSTRIALES";"2021";13333
"450";"LA RIOJA";"SDB";"2021";0
"451";"MENDOZA";"CENTRALES ELECTRICAS";"2021";744612
"452";"MENDOZA";"COMERCIALES";"2021";37553
"453";"MENDOZA";"RESIDENCIALES";"2021";435802
"454";"MENDOZA";"ENTES OFICIALES";"2021";17288
"455";"MENDOZA";"GNC";"2021";136704
"456";"MENDOZA";"INDUSTRIALES";"2021";438885
"457";"MENDOZA";"SDB";"2021";37483
"458";"NEUQUEN";"CENTRALES ELECTRICAS";"2021";9155
"459";"NEUQUEN";"COMERCIALES";"2021";61016
"460";"NEUQUEN";"RESIDENCIALES";"2021";558411
"461";"NEUQUEN";"ENTES OFICIALES";"2021";31794
"462";"NEUQUEN";"GNC";"2021";6284
"463";"NEUQUEN";"INDUSTRIALES";"2021";238298
"464";"NEUQUEN";"SDB";"2021";3157
"465";"RIO NEGRO";"CENTRALES ELECTRICAS";"2021";6178
"466";"RIO NEGRO";"COMERCIALES";"2021";77960
"467";"RIO NEGRO";"RESIDENCIALES";"2021";658462
"468";"RIO NEGRO";"ENTES OFICIALES";"2021";34622
