"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","Datasource ID","DataSource name"
"25d0ad43-454f-34c2-ae83-03c095069891","I.5.2","Agriculture, forestry and fishing activities",,"260.717","t CO2e",,,,,,,"b29e69d0-679a-4922-9745-8102c10bcbc0","Empresa de Pesquisa Energética"
"0f145a59-f3e3-3739-a970-9686e968e2b2","I.5.3","Agriculture, forestry and fishing activities",,"4.111","t CO2e",,,,,,,"6b7695bf-b321-412b-b873-17c2b979c9cb","Empresa de Pesquisa Energética"
"N/A","I.6.1","Non-specified sources","NE",,"t CO2e",,,,,,,,
"N/A","I.6.2","Non-specified sources","NE",,"t CO2e",,,,,,,,
"N/A","I.6.3","Non-specified sources","NE",,"t CO2e",,,,,,,,
"N/A","I.7.1","Fugitive emissions from mining, processing, storage, and transportation of coal","NO",,"t CO2e",,,,,,,,
"N/A","I.8.1","Fugitive emissions from oil and natural gas systems","NO",,"t CO2e",,,,,,,,
"064d8e7c-cddb-3766-8c70-579a1908c866","II.1.1","On-road transportation",,"30851.301","t CO2e",,,,,,,"567bcd46-f6c4-499f-9597-6240592c1e35","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","II.1.2","On-road transportation","NE",,"t CO2e",,,,,,,,
"N/A","II.1.3","On-road transportation","NE",,"t CO2e",,,,,,,,
"N/A","II.2.1","Railways","NO",,"t CO2e",,,,,,,,
"N/A","II.2.2","Railways","NO",,"t CO2e",,,,,,,,
"N/A","II.2.3","Railways","NO",,"t CO2e",,,,,,,,
"N/A","II.3.1","Waterborne navigation","NO",,"t CO2e",,,,,,,,
"N/A","II.3.2","Waterborne navigation","NO",,"t CO2e",,,,,,,,
"N/A","II.3.3","Waterborne navigation","NO",,"t CO2e",,,,,,,,
"N/A","II.4.1","Aviation","NE",,"t CO2e",,,,,,,,
"N/A","II.4.2","Aviation","NE",,"t CO2e",,,,,,,,
"N/A","II.4.3","Aviation","NE",,"t CO2e",,,,,,,,
"N/A","II.5.1","Off-road transportation","NE",,"t CO2e",,,,,,,,
"N/A","II.5.2","Off-road transportation","NE",,"t CO2e",,,,,,,,
"d4fc29ec-a073-34fb-abdb-3c27066451f3","III.1.1","Solid waste disposal",,"31342.08","t CO2e",,,,,,,"df49b122-7b26-4fd7-ba97-83a2be9ac796","SINIR"
"N/A","III.1.3","Solid waste disposal","NO",,"t CO2e",,,,,,,,
"N/A","III.2.1","Biological treatment of waste","NO",,"t CO2e",,,,,,,,
"N/A","III.2.3","Biological treatment of waste","NO",,"t CO2e",,,,,,,,
"N/A","III.3.1","Incineration and open burning","NO",,"t CO2e",,,,,,,,
"N/A","III.3.3","Incineration and open burning","NO",,"t CO2e",,,,,,,,
"e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b","III.4.1","Wastewater treatment and discharge",,"11106","t CO2e",,,"0","302","10",,,"OEF"
"N/A","IV.1","Emissions from industrial processes occurring within the city boundary","NO",,"t CO2e",,,,,,,,
"N/A","IV.2","Emissions from product use occurring within the city boundary","NO",,"t CO2e",,,,,,,,
"N/A","V.1","Emissions from livestock within the city boundary",,"18731.882","t CO2e",,,,,,,"3da1a62f-8cff-464b-bd5e-af70213f22c8","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"356924.807","t CO2e",,,,,,,"56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"6311.027","t CO2e",,,,,,,"0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
