id,actor_id,year,sector,gpc_refno,gas,emissions_quantity,units
0358844f-c8b4-3c72-a4a1-8537080cdeb4,AU BDG,2019,Aviation,II.4.1,co2,243770,kg
e3ca4fd2-921a-3659-9194-59eb28c8ed24,AU BDG,2019,Industry,IV.1,co2,110848259,kg
6df85430-8c72-32a2-bc21-77c653927f86,AU BDG,2020,Residential,I.1.1,co2,24030366,kg
ef592c2b-dab5-3359-b079-c4689c54616d,AU BDG,2020,Power,I.4.1,co2,6720618,kg
38a2c80d-fe87-3122-a163-ba0d547ee5a8,AU BDG,2020,Ground Transport,II.1.1,co2,19152732,kg
672e15a6-e26d-3c00-91cb-7af163f440c5,AU BDG,2020,Aviation,II.4.1,co2,132960,kg
e6dbe296-41c2-3f71-9b26-14268abf5ec4,AU BDG,2020,Industry,IV.1,co2,103140965,kg
34f89c45-d640-3c22-86f2-e54fd9f813ab,AU BDG,2021,Residential,I.1.1,co2,23251615,kg
6e7f3811-0247-3f16-92f2-3c791839c5e3,AU BDG,2021,Power,I.4.1,co2,6277138,kg
b2e20bad-7c61-33a5-a6cf-d9a58e04feaf,AU BDG,2021,Ground Transport,II.1.1,co2,21265274,kg
9f8a6bfb-1d4c-391b-9795-f525602455fc,AU BDG,2021,Aviation,II.4.1,co2,159763,kg
4d0306e3-943e-3713-ad82-92cc21e3f34a,AU BDG,2021,Industry,IV.1,co2,100869341,kg
f1b55d66-f909-3421-b37c-071c59193adc,AU BQA,2019,Residential,I.1.1,co2,46017710,kg
7dfadeb4-3815-31de-bc46-e00e6dcf3680,AU BQA,2019,Power,I.4.1,co2,6030160,kg
49dcccc7-e398-3ef0-a5a2-2cd5810d5bb5,AU BQA,2019,Ground Transport,II.1.1,co2,47077888,kg
844c743b-1d16-302c-b353-4e706c129f88,AU BQA,2019,Aviation,II.4.1,co2,3256855,kg
07b62393-6765-3862-94a8-c7fb008d4658,AU BQA,2019,Industry,IV.1,co2,218718901,kg
15498f9d-394a-3d7c-86a0-8004e773cb9b,AU BQA,2020,Residential,I.1.1,co2,47119437,kg
a9b22f5a-75b7-3c2d-b238-8f986b552fcb,AU BQA,2020,Power,I.4.1,co2,5773506,kg
da90a75d-5ed5-34fb-9933-ead77cbf49f4,AU BQA,2020,Ground Transport,II.1.1,co2,40608738,kg
0809cb5a-a2f9-35a4-8568-d8b4cc6f5a9b,AU BQA,2020,Aviation,II.4.1,co2,1908946,kg
3dc22b08-3d68-3a74-8389-7e8d6462215d,AU BQA,2020,Industry,IV.1,co2,203510677,kg
7c1ff6d5-1092-3f63-99ce-a9560798ff15,AU BQA,2021,Residential,I.1.1,co2,45817931,kg
fedd6ef7-e478-3c32-a50a-4e52f9b821f2,AU BQA,2021,Power,I.4.1,co2,5653680,kg
da81901e-38c0-33d8-a74e-7b5de6296655,AU BQA,2021,Ground Transport,II.1.1,co2,45087869,kg
1422268a-d905-3d94-8dfb-1e9ac0034164,AU BQA,2021,Aviation,II.4.1,co2,2305019,kg
519c3984-5a1b-384a-9e20-af016e451e39,AU BQA,2021,Industry,IV.1,co2,199029018,kg
c8f0ab56-0751-3ae9-884d-82ee946c1679,AU CBR,2019,Residential,I.1.1,co2,147890078,kg
f7806dcf-4ae8-3517-a025-d15a0105a58d,AU CBR,2019,Power,I.4.1,co2,256630,kg
b22aab7d-d742-3d6c-8936-09b2c1ae9668,AU CBR,2019,Ground Transport,II.1.1,co2,280549455,kg
23bed418-a007-332b-8f5f-2aeea736a4d0,AU CBR,2019,Aviation,II.4.1,co2,10666277,kg
9aa9f0e8-4c80-3397-ab63-7e622d8a2966,AU CBR,2019,Industry,IV.1,co2,699549245,kg
386a8c3a-875c-309d-98c9-e2a6af6aa3d4,AU CBR,2020,Residential,I.1.1,co2,152236378,kg
143ff186-0d04-3b83-a24d-40cae0c44cbc,AU CBR,2020,Power,I.4.1,co2,254500,kg
9add4590-bc24-3125-b120-b44989ba9406,AU CBR,2020,Ground Transport,II.1.1,co2,241998084,kg
b9f48bd3-741b-34f1-89c0-12e001149d01,AU CBR,2020,Aviation,II.4.1,co2,6228030,kg
e203975b-06c3-37de-a7b6-2d740e218095,AU CBR,2020,Industry,IV.1,co2,650909128,kg
1f26a807-1099-379d-b962-e7d3d0ef396e,AU CBR,2021,Residential,I.1.1,co2,147473694,kg
69aaf20c-7efb-3259-b4c0-d1bfd889659f,AU CBR,2021,Power,I.4.1,co2,241011,kg
3c2879cc-4023-3fbb-ac17-568078523955,AU CBR,2021,Ground Transport,II.1.1,co2,268690403,kg
4303a59f-c4e4-377c-9f7e-30e0f238bb6c,AU CBR,2021,Aviation,II.4.1,co2,7518353,kg
cfbfe7eb-daae-355e-8cad-1505fb9dcf0f,AU CBR,2021,Industry,IV.1,co2,636573553,kg
3c6daac6-f1c3-3cc6-a6b0-9f4350d90a4a,AU CNS,2019,Residential,I.1.1,co2,30594929,kg
eb95c705-ac8b-3405-867a-bfaa65cd67fe,AU CNS,2019,Ground Transport,II.1.1,co2,21981518,kg
9fc5ec08-4d08-3edc-a8e1-6a666cfec6d4,AU CNS,2019,Aviation,II.4.1,co2,11056900,kg
9447b1f7-b7b3-3d68-b8d1-6ee1e986ec94,AU CNS,2019,Industry,IV.1,co2,145174420,kg
0645dae9-504d-32bf-90a3-cf7ba9ebecbf,AU CNS,2020,Residential,I.1.1,co2,31489152,kg
e0ba972a-093c-39da-86ea-2083d940525c,AU CNS,2020,Ground Transport,II.1.1,co2,18960955,kg
b291d6e5-bf3f-3e81-8fc4-6f88ff103973,AU CNS,2020,Aviation,II.4.1,co2,6279118,kg
823b6b33-6866-3628-9193-3963e5d68a08,AU CNS,2020,Industry,IV.1,co2,135095682,kg
7ca30bd0-8354-3a78-b0e9-aadb668dc8dd,AU CNS,2021,Residential,I.1.1,co2,30129616,kg
762046c4-3174-37e5-84d1-01be553815c4,AU CNS,2021,Ground Transport,II.1.1,co2,21052343,kg
6bf73a3d-9780-3f48-aa0a-5062d0cf3dec,AU CNS,2021,Aviation,II.4.1,co2,7565975,kg
dd69f448-686a-3f4f-83d0-8f80fb2303b1,AU CNS,2021,Industry,IV.1,co2,132104682,kg
e28a0ea3-28e0-3c8b-820c-593f646b6581,AU GEX,2019,Residential,I.1.1,co2,62843644,kg
f70f05fc-a848-336c-8199-68054dde587c,AU GEX,2019,Power,I.4.1,co2,19007580,kg
e8da9286-d338-3ada-8b81-8b0a28927f3c,AU GEX,2019,Ground Transport,II.1.1,co2,49061451,kg
875a9e2d-5cb5-3c2a-8dde-570f0b923f77,AU GEX,2019,Aviation,II.4.1,co2,288348,kg
4dee7386-fe3e-31bf-8a71-8a4fec8494fd,AU GEX,2019,Industry,IV.1,co2,487715221,kg
e6fd29da-8cf5-3eb1-b881-ab8061e7288b,AU GEX,2020,Residential,I.1.1,co2,64378452,kg
9e56f66d-d5c6-3af1-a3a8-17423b257c29,AU GEX,2020,Power,I.4.1,co2,18208459,kg
70e8a850-10dc-35e2-8eee-43efecfe0660,AU GEX,2020,Ground Transport,II.1.1,co2,42319732,kg
07d47e0a-4f8f-37ba-8af7-bfada6e45f0e,AU GEX,2020,Aviation,II.4.1,co2,127265,kg
e81a3f3c-7bad-3943-a1ca-c75a06291714,AU GEX,2020,Industry,IV.1,co2,453830533,kg
14bac18b-77a0-3637-9cbd-5ceacc9aaa74,AU GEX,2021,Residential,I.1.1,co2,62697408,kg
7f6fe21e-2fe9-3a32-82bd-d62dafaadd8f,AU GEX,2021,Power,I.4.1,co2,17821063,kg
7eb1e931-a031-32c1-9393-13c458d6b9c6,AU GEX,2021,Ground Transport,II.1.1,co2,46987589,kg
9eafb8b2-f8db-37b9-b367-67fa1b36238a,AU GEX,2021,Aviation,II.4.1,co2,150369,kg
