subcategory_id,subsector_id,subcategory_name,reference_number,scope_id,reportinglevel_id,created,last_updated
5b799042-8ab0-3056-9166-5c74db8756a4,4f342e84-0269-3f04-aceb-1d6cd0a183bc,Emissions from energy used in power plant auxiliary operations within the city boundary,I.4.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
06922c49-a18e-3b86-a947-2dc833aec949,4f342e84-0269-3f04-aceb-1d6cd0a183bc,Emissions from energy generation supplied to the grid,I.4.4,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,7b8bd2cf-13a0-3a76-8d50-e08b4321703a,2023-10-10,2023-10-10
3ebc2363-43e5-3c1c-8270-dd6e5d823388,8de1d11d-4146-35f3-a973-e66930e68a50,Emissions from transmission and distribution losses from grid-supplied energy consumption,I.3.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
7752e771-bd0f-35ee-b016-c592c6d52338,8de1d11d-4146-35f3-a973-e66930e68a50,Emissions from fuel combustion within the city boundary,I.3.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
59e74d03-a234-38a3-9d8f-a13e8b424167,8de1d11d-4146-35f3-a973-e66930e68a50,Emissions from grid-supplied energy consumed within the city boundary,I.3.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
6cf6f15d-536a-37dc-90c7-7d7ea75b5d01,abe4c7b0-242d-3ed2-a146-48885d6fb38d,Emissions from grid-supplied energy consumed within the city boundary,I.1.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
58a9822a-fae0-3831-9f8b-4ec1fb48a54f,abe4c7b0-242d-3ed2-a146-48885d6fb38d,Emissions from fuel combustion within the city boundary,I.1.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
2badf7fe-aa9c-357d-888e-7ac8b7979a50,abe4c7b0-242d-3ed2-a146-48885d6fb38d,Emissions from transmission and distribution losses from grid-supplied energy consumption,I.1.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
75ca6ffd-7696-31b8-961a-45fa54ba970f,cfc4d8de-2b90-376c-b9d7-446aaf2d8eeb,Emissions from grid-supplied energy consumed within the city boundary,I.6.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
758d20ca-7085-3bd5-ac65-96299b28358e,cfc4d8de-2b90-376c-b9d7-446aaf2d8eeb,Emissions from fuel combustion within the city boundary,I.6.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
1c64a6fc-ae52-3473-b00c-beaf646d8cb6,cfc4d8de-2b90-376c-b9d7-446aaf2d8eeb,Emissions from transmission and distribution losses from grid-supplied energy consumption,I.6.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
ce889acf-9acd-3498-965a-3d4e5c88f57e,5b84b809-1878-3b1b-bf6b-250c64d5e920,"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",II.4.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
e47f1e6b-ca6c-32a7-a705-d2ee77424ef9,5b84b809-1878-3b1b-bf6b-250c64d5e920,Emissions from fuel combustion for aviation occurring within the city boundary,II.4.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
96640a23-487f-3e28-86fa-0fd822f855ec,5b84b809-1878-3b1b-bf6b-250c64d5e920,Emissions from grid-supplied energy consumed within the city boundary for aviation,II.4.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
af0b4e08-07a1-366d-b7b8-4407614c386b,e20ace37-9ba4-3a80-9d88-8cac5253c0b0,Emissions from grid-supplied energy consumed within the city boundary for off-road transportation,II.5.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
b83d0cea-bb45-3b43-b5ad-62aaafcc9c5e,e20ace37-9ba4-3a80-9d88-8cac5253c0b0,Emissions from fuel combustion for off-road transportation occurring within the city boundary,II.5.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
8a8e2b69-459e-3c7c-b978-aeddf82026e2,48fcfadb-90ed-34aa-80d9-fa31a90bef80,"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",II.1.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
53a0b057-27fb-36f2-96a1-1facca177dc4,48fcfadb-90ed-34aa-80d9-fa31a90bef80,Emissions from grid-supplied energy consumed within the city boundary for on-road transportation,II.1.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
064d8e7c-cddb-3766-8c70-579a1908c866,48fcfadb-90ed-34aa-80d9-fa31a90bef80,Emissions from fuel combustion on-road transportation occurring within the city boundary,II.1.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
9c36256a-80e5-31a4-a3fa-a9a641135a61,8cf35b86-9ed2-36bd-b04d-eddc47db6676,Emissions from grid-supplied energy consumed within the city boundary for railways,II.2.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
5d5851fc-aca9-36fa-9db4-74e330165e1e,8cf35b86-9ed2-36bd-b04d-eddc47db6676,"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",II.2.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
fc7d08ad-184e-3ecf-a5b6-17039d74915f,8cf35b86-9ed2-36bd-b04d-eddc47db6676,Emissions from fuel combustion for railway transportation occurring within the city boundary,II.2.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
9dff7279-966a-30f9-976a-8caccfa24f9f,ab32c321-e9e1-31b3-9dde-f93ade472219,Emissions from grid-supplied energy consumed within the city boundary for waterborne navigation,II.3.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
97330bfb-b19a-3987-97e1-bb754b26e5b8,ab32c321-e9e1-31b3-9dde-f93ade472219,Emissions from fuel combustion for waterborne navigation occurring within the city boundary,II.3.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
320d7a15-59a9-351c-b7c3-c8053e63b8b1,ab32c321-e9e1-31b3-9dde-f93ade472219,"Emissions from portion of transboundary journeys occurring outside the city boundary, and transmission and distribution losses from grid-supplied energy consumption",II.3.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
ac10b696-5b44-303a-b6f9-2a1906be76b1,a8baeb06-0ab2-3215-a93e-2fcbe0e8f8a9,Emissions from solid waste generated within the city boundary that is treated biologically within the city boundary,III.2.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
65440ef4-1749-33ee-9cc2-7dcf62e1850a,a8baeb06-0ab2-3215-a93e-2fcbe0e8f8a9,Emissions from solid waste generated within the city boundary but treated biologically outside of the city boundary,III.2.2,ce09d866-a134-35a8-88b8-e4f08b21af3a,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
cabb1b2e-546d-3fa0-bb05-975733480fb3,0ed16605-c76a-3c07-892d-4383a7618943,Emissions from solid waste generated within the city boundary but treated outside of the city boundary,III.3.2,ce09d866-a134-35a8-88b8-e4f08b21af3a,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
32680435-8d8b-3037-9c12-929776a7beaa,0ed16605-c76a-3c07-892d-4383a7618943,Emissions from solid waste generated and treated within the city boundary,III.3.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
d4fc29ec-a073-34fb-abdb-3c27066451f3,172d10c0-6b80-3173-902e-eca5c0af84c8,Emissions from solid waste generated within the city boundary and disposed in landfills or open dumps within the city boundary,III.1.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
32acd829-2e87-38e9-aab3-8a495577ea7d,172d10c0-6b80-3173-902e-eca5c0af84c8,Emissions from solid waste generated within the city boundary but disposed in landfills or open dumps outside the city boundary,III.1.2,ce09d866-a134-35a8-88b8-e4f08b21af3a,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
4dc4b184-2d1e-3b4a-9515-9cd1a2cc03ac,c465e7a2-1634-337f-819a-2dfbe147927e,Emissions from wastewater generated within the city boundary but treated outside of the city boundary,III.4.2,ce09d866-a134-35a8-88b8-e4f08b21af3a,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b,c465e7a2-1634-337f-819a-2dfbe147927e,Emissions from wastewater generated and treated within the city boundary,III.4.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
