,year,activity_name,activity_value,activity_units,Unnamed: 4
52,2020,Other cereals,40010,heads,
53,2021,Other cereals,48851,heads,
54,2022,Other cereals,58316,heads,
55,2018,Beef Slaughter,13452831,heads,
56,2019,Beef Slaughter,13872888,heads,
57,2020,Beef Slaughter,14008212,heads,
58,2021,Beef Slaughter,12987235,heads,
59,2022,Beef Slaughter,13580233,heads,
60,2018,Poultry Slaughter,711460000,heads,
61,2019,Poultry Slaughter,756948000,heads,
62,2020,Poultry Slaughter,757926000,heads,
63,2021,Poultry Slaughter,741394000,heads,
64,2022,Poultry Slaughter,751692000,heads,
65,2018,Pork Slaughter,6778976,heads,
66,2019,Pork Slaughter,6747245,heads,
67,2020,Pork Slaughter,7006094,heads,
68,2021,Pork Slaughter,7484271,heads,
69,2022,Pork Slaughter,7709536,heads,
70,2018,Sheep Slaughter,907151,heads,
71,2019,Sheep Slaughter,918999,heads,
72,2020,Sheep Slaughter,938518,heads,
73,2021,Sheep Slaughter,938698,heads,
74,2022,Sheep Slaughter,975661,heads,
75,2018,Production of refrigerated milk,635541487,l,
76,2019,Production of refrigerated milk,597945849,l,
77,2020,Production of refrigerated milk,509853326,l,
78,2021,Production of refrigerated milk,459803594,l,
79,2022,Production of refrigerated milk,439750723,l,
80,2018,Production of non-refrigerated milk,687258502,l,
81,2019,Production of non-refrigerated milk,613590133,l,
82,2020,Production of non-refrigerated milk,743697883,l,
83,2021,Production of non-refrigerated milk,739032139,l,
84,2022,Production of non-refrigerated milk,728307266,l,
85,2018,Production of powdered milk,232744,tonnes,
86,2019,Production of powdered milk,232833,tonnes,
87,2020,Production of powdered milk,265753,tonnes,
88,2021,Production of powdered milk,288730,tonnes,
89,2022,Production of powdered milk,264131,tonnes,
90,2018,Production of chocolate or flavored milk,46160287,l,
91,2019,Production of chocolate or flavored milk,31577353,l,
92,2020,Production of chocolate or flavored milk,23467347,l,
93,2021,Production of chocolate or flavored milk,40069913,l,
94,2022,Production of chocolate or flavored milk,46183853,l,
95,2018,Butter Production,29351,tonnes,
96,2019,Butter Production,28694,tonnes,
97,2020,Butter Production,34661,tonnes,
98,2021,Butter Production,41131,tonnes,
99,2022,Butter Production,39033,tonnes,
100,2018,Yogurt Production,394067,tonnes,
101,2019,Yogurt Production,354269,tonnes,
102,2020,Yogurt Production,355539,tonnes,
103,2021,Yogurt Production,332351,tonnes,
104,2022,Yogurt Production,352408,tonnes,
105,2018,Cheese Production,444128,tonnes,
106,2019,Cheese Production,429411,tonnes,
107,2020,Cheese Production,420650,tonnes,
108,2021,Cheese Production,460173,tonnes,
109,2022,Cheese Production,460223,tonnes,
110,2018,production of cream,62811,tonnes,
111,2019,production of cream,59370,tonnes,
112,2020,production of cream,61021,tonnes,
113,2021,production of cream,61027,tonnes,
114,2022,production of cream,65506,tonnes,
115,2018,production of Dulce de Leche,100575,tonnes,
116,2019,production of Dulce de Leche,96863,tonnes,
117,2020,production of Dulce de Leche,106555,tonnes,
118,2021,production of Dulce de Leche,96728,tonnes,
119,2022,production of Dulce de Leche,101626,tonnes,
120,2018,production of dairy desserts and flans,41102,tonnes,
121,2019,production of dairy desserts and flans,28609,tonnes,
122,2020,production of dairy desserts and flans,27433,tonnes,
123,2021,production of dairy desserts and flans,26909,tonnes,
124,2022,production of dairy desserts and flans,26957,tonnes,
125,2018,production of appetizers, vermouths and quinados,30728119,l
126,2019,production of appetizers, vermouths and quinados,26699779,l
127,2020,production of appetizers, vermouths and quinados,32360432,l
128,2021,production of appetizers, vermouths and quinados,40398008,l
129,2022,production of appetizers, vermouths and quinados,42666771,l
130,2018,production of bitters, biters and fernets,48243057,l
131,2019,production of bitters, biters and fernets,44314308,l
132,2020,production of bitters, biters and fernets,47290765,l
133,2021,production of bitters, biters and fernets,56777277,l
134,2022,production of bitters, biters and fernets,67965411,l
135,2018,production of fine liqueurs and creams,7770641,l,
136,2019,production of fine liqueurs and creams,8716873,l,
137,2020,production of fine liqueurs and creams,7259118,l,
138,2021,production of fine liqueurs and creams,8687362,l,
139,2022,production of fine liqueurs and creams,9732633,l,
140,2018,Production of Whiskey and Other Spiritual Drinks,52787053,l,
141,2019,Production of Whiskey and Other Spiritual Drinks,47238129,l,
142,2020,Production of Whiskey and Other Spiritual Drinks,44912086,l,
143,2021,Production of Whiskey and Other Spiritual Drinks,66346127,l,
144,2022,Production of Whiskey and Other Spiritual Drinks,77991213,l,
145,2018,Production of suggar,2128909,tonnes,
146,2019,Production of suggar,1624490,tonnes,
147,2020,Production of suggar,1781328,tonnes,
148,2021,Production of suggar,1637892,tonnes,
149,2022,Production of suggar,1533307,tonnes,
150,2018,production of cellulose pulps,830574,tonnes,
151,2019,production of cellulose pulps,791131,tonnes,
152,2020,production of cellulose pulps,733530,tonnes,
153,2021,production of cellulose pulps,698673,tonnes,
154,2022,production of cellulose pulps,649541,tonnes,
155,2018,production of packaging paper,1020365,tonnes,
156,2019,production of packaging paper,983864,tonnes,
157,2020,production of packaging paper,991836,tonnes,
158,2021,production of packaging paper,1120829,tonnes,
159,2022,production of packaging paper,1182176,tonnes,
160,2018,production of paper for sanitary use and other uses,356890,tonnes,
161,2019,production of paper for sanitary use and other uses,350785,tonnes,
162,2020,production of paper for sanitary use and other uses,377457,tonnes,
163,2021,production of paper for sanitary use and other uses,386624,tonnes,
164,2022,production of paper for sanitary use and other uses,398924,tonnes,
165,2018,production of newsprint and printing paper,375360,tonnes,
166,2019,production of newsprint and printing paper,349304,tonnes,
167,2020,production of newsprint and printing paper,253108,tonnes,
168,2021,production of newsprint and printing paper,239585,tonnes,
169,2022,production of newsprint and printing paper,258180,tonnes,
170,2018,crude oil production,28405214,cubic meters,
171,2019,crude oil production,29516880,cubic meters,
172,2020,crude oil production,27970381,cubic meters,
173,2021,crude oil production,29798791,cubic meters,
174,2022,crude oil production,33796105,cubic meters,
175,2018,processed oil production,35952713,cubic meters,
176,2019,processed oil production,35670205,cubic meters,
177,2020,processed oil production,31182450,cubic meters,
178,2021,processed oil production,34576413,cubic meters,
179,2022,processed oil production,36304107,cubic meters,
180,2018,production of special premium gasoline > 97 RON,2412346,cubic meters,
181,2019,production of special premium gasoline > 97 RON,2086037,cubic meters,
182,2020,production of special premium gasoline > 97 RON,1578006,cubic meters,
183,2021,production of special premium gasoline > 97 RON,2124657,cubic meters,
184,2022,production of special premium gasoline > 97 RON,2083709,cubic meters,
185,2018,Super special gasoline > 93 RON,6457102,cubic meters,
186,2019,Super special gasoline > 93 RON,6671505,cubic meters,
187,2020,Super special gasoline > 93 RON,5029357,cubic meters,
188,2021,Super special gasoline > 93 RON,6281905,cubic meters,
189,2022,Super special gasoline > 93 RON,6594004,cubic meters,
190,2018,diesel production,11538858,cubic meters,
191,2019,diesel production,11599296,cubic meters,
192,2020,diesel production,10660146,cubic meters,
193,2021,diesel production,12046361,cubic meters,
194,2022,diesel production,12512332,cubic meters,
195,2018,fuel oil production,1350540,tonnes,
196,2019,fuel oil production,1715771,tonnes,
197,2020,fuel oil production,1926218,tonnes,
198,2021,fuel oil production,1299885,tonnes,
199,2022,fuel oil production,1274161,tonnes,
200,2018,Kerosene production,11577,cubic meters,
201,2019,Kerosene production,9618,cubic meters,
202,2020,Kerosene production,8293,cubic meters,
203,2021,Kerosene production,8182,cubic meters,
204,2022,Kerosene production,7186,cubic meters,
205,2018,Aerokerosene production,1826782,cubic meters,
206,2019,Aerokerosene production,1832813,cubic meters,
207,2020,Aerokerosene production,655289,cubic meters,
208,2021,Aerokerosene production,742984,cubic meters,
209,2022,Aerokerosene production,1458588,cubic meters,
210,2018,lubricant production,283318,cubic meters,
211,2019,lubricant production,247372,cubic meters,
212,2020,lubricant production,240430,cubic meters,
213,2021,lubricant production,293200,cubic meters,
214,2022,lubricant production,292063,cubic meters,
215,2018,Propane production,495102,tonnes,
216,2019,Propane production,464634,tonnes,
217,2020,Propane production,342696,tonnes,
218,2021,Propane production,482421,tonnes,
219,2022,Propane production,490935,tonnes,
220,2018,Butane production,576404,tonnes,
221,2019,Butane production,578764,tonnes,
222,2020,Butane production,470727,tonnes,
223,2021,Butane production,589068,tonnes,
224,2022,Butane production,599273,tonnes,
225,2018,refinery gas production,1294242,tonnes,
226,2019,refinery gas production,1112492,tonnes,
227,2020,refinery gas production,1043303,tonnes,
228,2021,refinery gas production,1028019,tonnes,
229,2022,refinery gas production,1051138,tonnes,
230,2018,Coke production,1511631,tonnes,
231,2019,Coke production,1462148,tonnes,
232,2020,Coke production,1249461,tonnes,
233,2021,Coke production,1485417,tonnes,
234,2022,Coke production,1459607,tonnes,
235,2018,production of petroleum fats,7490,tonnes,
236,2019,production of petroleum fats,7955,tonnes,
237,2020,production of petroleum fats,8105,tonnes,
238,2021,production of petroleum fats,9895,tonnes,
239,2022,production of petroleum fats,8967,tonnes,
240,2018,asphalt production,491408,tonnes,
241,2019,asphalt production,387844,tonnes,
242,2020,asphalt production,266383,tonnes,
243,2021,asphalt production,375310,tonnes,
244,2022,asphalt production,252365,tonnes,
245,2018,production of aliphatic solvents,66359,cubic meters,
246,2019,production of aliphatic solvents,62191,cubic meters,
247,2020,production of aliphatic solvents,57481,cubic meters,
248,2021,production of aliphatic solvents,62349,cubic meters,
249,2022,production of aliphatic solvents,62352,cubic meters,
250,2018,production of aromatic solvents,102486,cubic meters,
251,2019,production of aromatic solvents,115935,cubic meters,
252,2020,production of aromatic solvents,111941,cubic meters,
253,2021,production of aromatic solvents,114969,cubic meters,
254,2022,production of aromatic solvents,103775,cubic meters,
255,2018,production of hexane solvents,51660,cubic meters,
256,2019,production of hexane solvents,50904,cubic meters,
257,2020,production of hexane solvents,45835,cubic meters,
258,2021,production of hexane solvents,50217,cubic meters,
259,2022,production of hexane solvents,45102,cubic meters,
260,2018,turpentine production,40724,cubic meters,
261,2019,turpentine production,42425,cubic meters,
262,2020,turpentine production,46655,cubic meters,
263,2021,turpentine production,47100,cubic meters,
264,2022,turpentine production,46694,cubic meters,
265,2018,production of other light petroleum products,2000169,cubic meters,
266,2019,production of other light petroleum products,1493491,cubic meters,
267,2020,production of other light petroleum products,1520003,cubic meters,
268,2021,production of other light petroleum products,1539219,cubic meters,
269,2022,production of other light petroleum products,1654127,cubic meters,
270,2018,production of other medium petroleum products,1575454,cubic meters,
271,2019,production of other medium petroleum products,1434402,cubic meters,
272,2020,production of other medium petroleum products,1325757,cubic meters,
273,2021,production of other medium petroleum products,1180048,cubic meters,
274,2022,production of other medium petroleum products,1132316,cubic meters,
275,2018,production of other heavy petroleum products,490124,cubic meters,
276,2019,production of other heavy petroleum products,733354,cubic meters,
277,2020,production of other heavy petroleum products,475759,cubic meters,
278,2021,production of other heavy petroleum products,485553,cubic meters,
279,2022,production of other heavy petroleum products,515460,cubic meters,
280,2018,Oxygen production,207129027,cubic meters,
281,2019,Oxygen production,220892928,cubic meters,
282,2020,Oxygen production,210832585,cubic meters,
283,2021,Oxygen production,281146592,cubic meters,
284,2022,Oxygen production,291819732,cubic meters,
285,2018,Nitrogen production,251059045,cubic meters,
286,2019,Nitrogen production,255430244,cubic meters,
287,2020,Nitrogen production,249385133,cubic meters,
288,2021,Nitrogen production,252058439,cubic meters,
289,2022,Nitrogen production,269205410,cubic meters,
290,2018,production of Benzene ,86127,tonnes,
291,2019,production of Benzene ,99547,tonnes,
292,2020,production of Benzene ,89644,tonnes,
293,2021,production of Benzene ,96810,tonnes,
294,2022,production of Benzene ,87798,tonnes,
295,2018,production of Ethylene ,718057,tonnes,
296,2019,production of Ethylene ,546109,tonnes,
297,2020,production of Ethylene ,736784,tonnes,
298,2021,production of Ethylene ,649076,tonnes,
299,2022,production of Ethylene ,707675,tonnes,
300,2018,production of Ammonia,627093,tonnes,
301,2019,production of Ammonia,729766,tonnes,
302,2020,production of Ammonia,778003,tonnes,
303,2021,production of Ammonia,593433,tonnes,
304,2022,production of Ammonia,886236,tonnes,
305,2018,production of Methanol,472337,tonnes,
306,2019,production of Methanol,456430,tonnes,
307,2020,production of Methanol,223521,tonnes,
308,2021,production of Methanol,376764,tonnes,
309,2022,production of Methanol,422389,tonnes,
310,2018,production of O-Xylene,7544,tonnes,
311,2019,production of O-Xylene,8800,tonnes,
312,2020,production of O-Xylene,8617,tonnes,
313,2021,production of O-Xylene,11222,tonnes,
314,2022,production of O-Xylene,11895,tonnes,
315,2018,production of Carbon Sulfide,11600,tonnes,
316,2019,production of Carbon Sulfide,10000,tonnes,
317,2020,production of Carbon Sulfide,9100,tonnes,
318,2021,production of Carbon Sulfide,9400,tonnes,
319,2022,production of Carbon Sulfide,10000,tonnes,
320,2018,production of Polyethylene terephthalate-PET (1),188000,tonnes,
321,2019,production of Polyethylene terephthalate-PET (1),158000,tonnes,
322,2020,production of Polyethylene terephthalate-PET (1),160000,tonnes,
323,2021,production of Polyethylene terephthalate-PET (1),177000,tonnes,
324,2022,production of Polyethylene terephthalate-PET (1),190000,tonnes,
325,2018,production of Polypropylene,287800,tonnes,
326,2019,production of Polypropylene,261000,tonnes,
327,2020,production of Polypropylene,201800,tonnes,
328,2021,production of Polypropylene,291130,tonnes,
329,2022,production of Polypropylene,298640,tonnes,
330,2018,production of Polyethylene,629873,tonnes,
331,2019,production of Polyethylene,507483,tonnes,
332,2020,production of Polyethylene,644277,tonnes,
333,2021,production of Polyethylene,549776,tonnes,
334,2022,production of Polyethylene,636642,tonnes,
335,2018,production of Polyvinyl Chloride (PVC),184077,tonnes,
336,2019,production of Polyvinyl Chloride (PVC),161511,tonnes,
337,2020,production of Polyvinyl Chloride (PVC),168628,tonnes,
338,2021,production of Polyvinyl Chloride (PVC),185740,tonnes,
339,2022,production of Polyvinyl Chloride (PVC),203440,tonnes,
340,2018,production of Styrene,97767,tonnes,
341,2019,production of Styrene,87487,tonnes,
342,2020,production of Styrene,89503,tonnes,
343,2021,production of Styrene,105312,tonnes,
344,2022,production of Styrene,100768,tonnes,
345,2018,production of Urea,1016007,tonnes,
346,2019,production of Urea,1178398,tonnes,
347,2020,production of Urea,1283575,tonnes,
348,2021,production of Urea,918708,tonnes,
349,2022,production of Urea,1377821,tonnes,
350,2018,production of Lampblack,77657,tonnes,
351,2019,production of Lampblack,68294,tonnes,
352,2020,production of Lampblack,59226,tonnes,
353,2021,production of Lampblack,75014,tonnes,
354,2022,production of Lampblack,75658,tonnes,
355,2018,production of Synthetic rubber,25426,tonnes,
356,2019,production of Synthetic rubber,25939,tonnes,
357,2020,production of Synthetic rubber,35335,tonnes,
358,2021,production of Synthetic rubber,53067,tonnes,
359,2022,production of Synthetic rubber,43321,tonnes,
360,2018,production of biodiesel,2428997,cubic meters,
361,2019,production of biodiesel,2147270,cubic meters,
362,2020,production of biodiesel,1157364,cubic meters,
363,2021,production of biodiesel,1723665,cubic meters,
364,2022,production of biodiesel,1909618,cubic meters,
365,2018,corn bioethanol,585619,cubic meters,
366,2019,corn bioethanol,553829,cubic meters,
367,2020,corn bioethanol,423575,cubic meters,
368,2021,corn bioethanol,533928,cubic meters,
369,2022,corn bioethanol,702853,cubic meters,
370,2018,sugar cane bioethanol,528162,cubic meters,
371,2019,sugar cane bioethanol,519667,cubic meters,
372,2020,sugar cane bioethanol,385150,cubic meters,
373,2021,sugar cane bioethanol,474130,cubic meters,
374,2022,sugar cane bioethanol,455988,cubic meters,
375,2018,production of soaps (toilet and washing),74215,tonnes,
376,2019,production of soaps (toilet and washing),67057,tonnes,
377,2020,production of soaps (toilet and washing),88054,tonnes,
378,2021,production of soaps (toilet and washing),77968,tonnes,
379,2022,production of soaps (toilet and washing),70015,tonnes,
380,2018,production of detergents and cleaners (includes bleaches),835821,tonnes,
381,2019,production of detergents and cleaners (includes bleaches),733432,tonnes,
382,2020,production of detergents and cleaners (includes bleaches),841870,tonnes,
383,2021,production of detergents and cleaners (includes bleaches),846705,tonnes,
384,2022,production of detergents and cleaners (includes bleaches),787141,tonnes,
385,2018,production of other cleaning items,86364,tonnes,
386,2019,production of other cleaning items,64495,tonnes,
387,2020,production of other cleaning items,63356,tonnes,
388,2021,production of other cleaning items,62323,tonnes,
389,2022,production of other cleaning items,66339,tonnes,
390,2018,production of paints for construction and domestic use,198816,tonnes,
391,2019,production of paints for construction and domestic use,183883,tonnes,
392,2020,production of paints for construction and domestic use,180563,tonnes,
393,2021,production of paints for construction and domestic use,195335,tonnes,
394,2022,production of paints for construction and domestic use,188178,tonnes,
395,2018,production of paints for other uses,67276,tonnes,
396,2019,production of paints for other uses,57442,tonnes,
397,2020,production of paints for other uses,57988,tonnes,
398,2021,production of paints for other uses,75735,tonnes,
399,2022,production of paints for other uses,62191,tonnes,
400,2018,production of hollow ceramic bricks,729304642,units,
401,2019,production of hollow ceramic bricks,651275603,units,
402,2020,production of hollow ceramic bricks,631779265,units,
403,2021,production of hollow ceramic bricks,874903566,units,
404,2022,production of hollow ceramic bricks,800983191,units,
405,2018,production of plaster,172021,tonnes,
406,2019,production of plaster,190374,tonnes,
407,2020,production of plaster,123086,tonnes,
408,2021,production of plaster,177276,tonnes,
409,2022,production of plaster,190349,tonnes,
410,2018,production of portland cement,11841,tonnes,
411,2019,production of portland cement,11082,tonnes,
412,2020,production of portland cement,9871,tonnes,
413,2021,production of portland cement,12117,tonnes,
414,2022,production of portland cement,13029,tonnes,
415,2018,production of ceramics, floors and coverings,67622,square meters
416,2019,production of ceramics, floors and coverings,58462,square meters
417,2020,production of ceramics, floors and coverings,55653,square meters
418,2021,production of ceramics, floors and coverings,75540,square meters
419,2022,production of ceramics, floors and coverings,71100,square meters
420,2018,production of ceramic sanitary ware,3357533,pieces,
421,2019,production of ceramic sanitary ware,2560199,pieces,
422,2020,production of ceramic sanitary ware,1891557,pieces,
423,2021,production of ceramic sanitary ware,3309165,pieces,
424,2022,production of ceramic sanitary ware,3133248,pieces,
425,2018,production of plasterboard,55752499,square meters,
426,2019,production of plasterboard,52665013,square meters,
427,2020,production of plasterboard,48239864,square meters,
428,2021,production of plasterboard,57333287,square meters,
429,2022,production of plasterboard,60409418,square meters,
430,2018,production of primary aluminum,439600,tonnes,
431,2019,production of primary aluminum,438434,tonnes,
432,2020,production of primary aluminum,309804,tonnes,
433,2021,production of primary aluminum,338239,tonnes,
434,2022,production of primary aluminum,400038,tonnes,
435,2018,production of primary iron,3790200,tonnes,
436,2019,production of primary iron,3049900,tonnes,
437,2020,production of primary iron,2455000,tonnes,
438,2021,production of primary iron,3550000,tonnes,
439,2022,production of primary iron,3493600,tonnes,
440,2018,production of raw steel,5161700,tonnes,
441,2019,production of raw steel,4644500,tonnes,
442,2020,production of raw steel,3651100,tonnes,
443,2021,production of raw steel,4875300,tonnes,
444,2022,production of raw steel,5093500,tonnes,
445,2018,production of flat hot rolled,2271000,tonnes,
446,2019,production of flat hot rolled,2032600,tonnes,
447,2020,production of flat hot rolled,1973800,tonnes,
448,2021,production of flat hot rolled,2513700,tonnes,
449,2022,production of flat hot rolled,2248900,tonnes,
450,2018,production of non-flat hot rolled,2492500,tonnes,
451,2019,production of non-flat hot rolled,2232100,tonnes,
452,2020,production of non-flat hot rolled,1494700,tonnes,
453,2021,production of non-flat hot rolled,2254100,tonnes,
454,2022,production of non-flat hot rolled,2387400,tonnes,
455,2018,production of cold rolled,1257800,tonnes,
456,2019,production of cold rolled,1150500,tonnes,
457,2020,production of cold rolled,1194000,tonnes,
458,2021,production of cold rolled,1425000,tonnes,
459,2022,production of cold rolled,1242700,tonnes,
460,2021,production of seeders,2636,units,
461,2022,production of seeders,2716,units,
462,2021,production of combines,728,units,
463,2022,production of combines,900,units,
464,2021,production of tractors,7063,units,
465,2022,production of tractors,8123,units,
466,2021,production of self-propelled and trailed agricultural sprayers,1348,units,
467,2022,production of self-propelled and trailed agricultural sprayers,1539,units,
468,2021,production of hauling and storage of agricultural grains,4628,units,
469,2022,production of hauling and storage of agricultural grains,4221,units,
470,2021,production of other agricultural implements,3876,units,
471,2022,production of other agricultural implements,4418,units,
472,2018,production of kitchens,645072,units,
473,2019,production of kitchens,572900,units,
474,2020,production of kitchens,435829,units,
475,2021,production of kitchens,613920,units,
476,2022,production of kitchens,607181,units,
477,2018,production of ovens and stoves,101826,units,
478,2019,production of ovens and stoves,104183,units,
479,2020,production of ovens and stoves,142608,units,
480,2021,production of ovens and stoves,200911,units,
481,2022,production of ovens and stoves,212364,units,
482,2018,production of microwave ovens,278821,units,
483,2019,production of microwave ovens,208263,units,
484,2020,production of microwave ovens,209347,units,
485,2021,production of microwave ovens,558335,units,
486,2022,production of microwave ovens,481035,units,
487,2018,production of heaters and stoves,667734,units,
488,2019,production of heaters and stoves,640246,units,
489,2020,production of heaters and stoves,562751,units,
490,2021,production of heaters and stoves,786012,units,
491,2022,production of heaters and stoves,734502,units,
492,2018,production of refrigerators,678017,units,
493,2019,production of refrigerators,574477,units,
494,2020,production of refrigerators,623780,units,
495,2021,production of refrigerators,878539,units,
496,2022,production of refrigerators,978987,units,
497,2018,production of freezers,134632,units,
498,2019,production of freezers,84733,units,
499,2020,production of freezers,108009,units,
500,2021,production of freezers,180311,units,
501,2022,production of freezers,201273,units,
502,2018,production of washing machine,894131,units,
503,2019,production of washing machine,855826,units,
504,2020,production of washing machine,816538,units,
505,2021,production of washing machine,1065556,units,
506,2022,production of washing machine,1127358,units,
507,2018,production of clothes dryer,353657,units,
508,2019,production of clothes dryer,275341,units,
509,2020,production of clothes dryer,252052,units,
510,2021,production of clothes dryer,304531,units,
511,2022,production of clothes dryer,309169,units,
512,2018,production of heaters,146421,units,
513,2019,production of heaters,127578,units,
514,2020,production of heaters,103705,units,
515,2021,production of heaters,138929,units,
516,2022,production of heaters,141104,units,
517,2018,production of gas water heaters,426948,units,
518,2019,production of gas water heaters,401998,units,
519,2020,production of gas water heaters,392724,units,
520,2021,production of gas water heaters,526515,units,
521,2022,production of gas water heaters,514996,units,
522,2018,production of electric water heaters,332337,units,
523,2019,production of electric water heaters,372538,units,
524,2020,production of electric water heaters,319233,units,
525,2021,production of electric water heaters,496826,units,
526,2022,production of electric water heaters,607817,units,
527,2018,production of air conditioners,1177977,units,
528,2019,production of air conditioners,785297,units,
529,2020,production of air conditioners,884835,units,
530,2021,production of air conditioners,1421417,units,
531,2022,production of air conditioners,1303595,units,
532,2018,production of automobiles and utility vehicles,466649,units,
533,2019,production of automobiles and utility vehicles,314787,units,
534,2020,production of automobiles and utility vehicles,257187,units,
535,2021,production of automobiles and utility vehicles,434753,units,
536,2022,production of automobiles and utility vehicles,536893,units,
537,2018,production of motorcycles,530807,units,
538,2019,production of motorcycles,245588,units,
539,2020,production of motorcycles,243158,units,
540,2021,production of motorcycles,407778,units,
541,2022,production of motorcycles,458367,units,
542,2018,production of cellphones,8038092,units,
543,2019,production of cellphones,7229285,units,
544,2020,production of cellphones,6303851,units,
545,2021,production of cellphones,9911496,units,
546,2022,production of cellphones,10021943,units,
547,2018,production of televisions,3290131,units,
548,2019,production of televisions,1715145,units,
549,2020,production of televisions,2085509,units,
550,2021,production of televisions,2698808,units,
551,2022,production of televisions,3205901,units,
