Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Burundi,Burundi,BI,176.92,237.28,69.23,69.23,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Burundi,Burundi,BI,171.15,229.10,70.24,70.24,EMBER + Electricity Maps Estimation; Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Burundi,Burundi,BI,176.97,237.33,69.22,69.22,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Burundi,Burundi,BI,178.40,238.99,68.97,68.97,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Benin,Benin,BJ,371.74,514.80,1.42,1.42,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Benin,Benin,BJ,366.55,511.62,3.08,3.08,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Benin,Benin,BJ,363.66,509.85,4.00,4.00,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Benin,Benin,BJ,362.39,508.29,4.35,4.35,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Brunei,Brunei,BN,454.91,562.57,0.07,0.07,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Brunei,Brunei,BN,455.91,563.70,0.08,0.08,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Brunei,Brunei,BN,457.42,564.90,0.10,0.10,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Brunei,Brunei,BN,459.12,566.34,0.11,0.11,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
