locode,osmid
AR RGL,R10916819
AR RHD,R2271182
AR RIC,W332070857
AR RIV,N198417261
AR RLA,N198416201
AR RLO,R9802707
AR RMJ,R1748197
AR RNG,R3265888
AR ROJ,R3743611
AR ROL,R3368050
AR ROS,R3594027
AR ROY,R9340524
AR RRS,R4112694
AR RSA,R3399834
AR RSG,R2330523
AR RTO,R3918308
AR RWO,N198416132
AR RXV,R5836735
AR RYO,R3439488
AR RZA,R4851282
AR SA2,R4112693
AR SAA,N1991342525
AR SAE,R3410253
AR SAG,N198418871
AR SAJ,R2866189
AR SAL,N198418593
AR SAN,R3190588
AR SAO,R5925990
AR SAP,R2539283
AR SAR,R2147883
AR SAT,R9168783
AR SCA,W1075081537
AR SDE,R3759837
AR SDL,R11571686
AR SDR,N198418604
AR SFE,R1898365
AR SFN,R3498629
AR SFO,R3918962
AR SFS,R2532390
AR SFV,R7327976
AR SGV,R6666035
AR SIA,R3833881
AR SIG,R3489868
AR SIS,R1877221
AR SJG,R4111782
AR SJL,R3439485
AR SJM,R2730170
AR SJO,R1748245
AR SJR,R4226346
AR SJV,R11569530
AR SLA,R7274360
AR SLL,R3399542
AR SLU,N1831212974
AR SMA,R12733883
AR SMC,R3486117
AR SMG,R2029703
AR SMM,R3348578
AR SMR,R2955053
AR SNG,R2295496
AR SNN,R16193063
AR SNP,R9182373
AR SNS,R8186133
AR SPD,W307929948
AR SSA,R2858482
AR SSJ,R4465720
AR SSN,R12264655
AR SST,R15740805
AR STA,R2993093
AR STL,N1831212974
AR SUI,R4126564
AR SUS,R4167414
AR SVE,R11569566
AR SZQ,R2433056
AR TAB,R1748232
AR TDL,R3399642
AR TEM,R2537337
AR TEO,R4067730
AR TGR,R2409645
AR TIC,R9469714
AR TOR,R3405754
AR TOT,R1784694
AR TPL,R1750946
AR TPV,R2199855
AR TRS,R3197813
AR TTD,R4261249
AR TTG,R2728568
AR TUC,R3486117
AR TUN,R3023107
AR TVJ,R3491676
AR UAQ,R16064816
AR UKD,R5815445
AR ULA,N1242124044
AR ULP,R4029200
AR URA,R8167091
AR URH,R2989712
AR USA,R8193938
AR USH,R2296333
AR UZU,R3134569
AR VAA,R2545686
AR VAD,R1770850
AR VAL,R2709159
AR VBA,R9166567
AR VBS,R2435787
AR VCA,R9422446
AR VCF,R2607581
AR VCH,N198432888
AR VCL,R3587502
AR VCN,R4061094
AR VCP,R2284280
AR VDM,R6120930
AR VDP,R1751001
AR VDR,R9468610
AR VDY,R2922116
AR VED,R16215429
AR VEL,R4045517
AR VFL,R3030379
AR VGB,R9561484
AR VGG,R3414209
AR VGS,N198451626
AR VIA,R1788821
AR VIL,R9494166
AR VIM,R1750991
AR VIN,N198434763
AR VLA,R3441859
AR VLD,R2147842
AR VLG,N177242511
AR VLI,R3442889
AR VLL,R6091815
AR VLO,R1224657
AR VLP,R5175871
AR VLR,R2644263
AR VLU,R9450617
AR VLV,R4186402
AR VLY,R6930712
AR VLZ,R1748168
AR VMD,R15793374
AR VME,R3399819
AR VMP,R9168613
AR VMR,R2262361
AR VMZ,R4435043
AR VNA,R4585334
AR VNT,N198432657
AR VRE,R10854763
AR VRS,R7314771
AR VST,R2989604
AR VTS,R2547897
AR VTT,R9477393
AR WIL,R2145974
AR WNL,N198453580
AR XLM,R3840810
AR XMV,R2728608
AR XMX,N2804257261
AR XOS,R2724843
AR XPD,N1242029170
AR XSA,R4767467
AR ZAE,N198437342
AR ZAG,N6165375577
AR ZAI,R7228772
AR ZON,N4338843824
AT 6KS,N240117524
AT 6NR,R89524
AT 6TA,N240059593
AT 7PZ,R129502
AT 7ST,R80224
AT 7TA,R942618
AT 8HN,R915363
AT A9Z,N240109337
AT ABC,R1019885
AT ABG,R8749117
AT ABK,R85644
AT ABM,R903890
AT ABS,R943657
AT ABT,R86358
AT ABU,R75107
AT ACH,N240034822
AT ACK,R80238
AT ADD,N240055648
AT ADG,R132152
AT ADO,R3837189
AT ADU,R105091
AT AED,N240096855
AT AFR,R106156
AT AGG,N240090573
AT AGM,N240073806
AT AGZ,R87715
AT AHN,R422078
AT AHO,R105894
AT AIN,R5229634
AT AKV,R86254
AT AL4,N212758378
AT AL9,R554947
AT ALB,R305139
AT ALE,R406296
AT ALH,R49311
AT ALK,R968969
AT ALT,R105894
AT ALZ,R919251
AT AMK,R968969
AT AMS,N211261195
AT AND,R103894
AT ANF,R86650
AT ANG,N240111062
AT ANI,N240128138
AT ANR,R3875091
AT ANT,R76825
AT AOT,R106122
AT APG,R910594
AT APT,R105619
AT ARB,R945083
AT ARG,R86536
AT ARO,R36726
AT ARV,R106095
AT ASC,R86284
AT ASP,R5848110
AT ATG,R905798
AT ATH,R75189
AT ATK,R106139
AT ATS,R50637
AT ATT,R128084
AT ATZ,R108623
AT AUE,R90101
AT AWG,R373771
AT AWH,N218964123
AT AZX,R3837719
AT B7B,N240087003
AT B9G,R34882
AT BAG,R111948
AT BB9,N240093145
AT BBG,R106068
AT BBH,R3867080
AT BBN,R77597
AT BDA,N240110559
AT BDG,R929724
AT BDH,R1016887
AT BDN,R111479
AT BDS,R189601
AT BE8,R86671
AT BFI,N36431949
AT BFL,R89610
AT BFS,R405583
AT BFW,R111887
AT BGA,R12003113
AT BGC,R3936087
AT BGH,N240109992
AT BGN,N240087118
AT BGT,R909403
AT BGW,R110321
AT BHL,R2006262
AT BIE,R111879
AT BKA,N5398331367
AT BKB,R3938886
AT BKD,R3876905
AT BKL,R947911
AT BKZ,R909437
AT BLU,R76717
AT BMF,R3831407
AT BND,R76681
AT BNF,R111453
AT BNN,N152282038
AT BNT,R8817685
AT BRA,R86330
AT BRD,N240050622
AT BRH,R110368
AT BRI,N126454735
AT BRL,R71348
AT BRN,N174995103
AT BRU,R3904390
AT BRZ,R75073
AT BSB,R109358
AT BSL,R309415
AT BTE,N29747071
AT BTU,R111141
AT BUC,R358815
AT BUG,R193394
AT BVL,R111451
AT BVU,R86362
AT BWA,N100788383
AT BWD,N119701231
AT BXG,R554952
AT BXT,R541904
AT CH8,R2661048
AT DAM,R75093
AT DBL,R3802223
AT DDT,R391985
AT DER,R447328
AT DEU,R3778257
AT DFC,R87701
AT DFL,N240082936
AT DKZ,R109533
AT DOF,R417548
AT DOR,R75110
AT DRA,R102929
AT DRO,R451671
AT DSH,R2712949
AT DSZ,N34994743
AT DUE,R416887
AT DUR,R105872
AT DWA,N746030027
AT EAJ,N240087317
AT EBB,R2168240
AT EBD,R37358
AT EBE,R111808
AT EBN,N240069153
AT EBR,R8742072
AT EBU,N240085633
AT EBZ,R63168
AT ECU,R37851
AT EDZ,R110618
AT EEZ,R49971
AT EGG,R74777
AT EH7,R37838
AT EHN,R911484
AT EHR,R3818839
AT EIN,R111113
AT EIT,N26807241
AT EKV,R317992
AT ELI,R967135
AT ELL,R302036
AT EMM,R127128
AT ENA,R89436
AT ENO,R907902
AT ENZ,R945058
AT EPD,N240029535
AT ERF,R67009
AT ERG,R942697
AT ERL,R2168241
AT ERM,R49970
AT ERO,N146491555
AT ERP,R12861733
AT ERR,R105542
AT ESG,R1585661
AT ESN,N240060496
AT ESW,R918920
AT ETB,R114818
AT ETE,R114788
AT ETH,N1066629710
AT ETL,R105915
AT ETN,R105883
AT ETZ,R77759
AT EUG,R86670
AT EWD,R3779630
AT EZF,R8894786
AT FAA,N129522618
AT FAS,R86684
AT FAU,R919102
AT FBB,R85648
AT FBN,N73743227
AT FBZ,R3794221
AT FDU,N611750804
AT FED,R3934484
AT FEK,R86205
AT FEO,R106144
AT FG7,R111872
AT FGN,R80221
AT FHR,R3950309
AT FIS,N801771101
AT FIT,R357370
AT FKC,R34286
AT FKN,R105048
AT FKT,R75155
AT FLA,R541132
AT FLH,R356961
AT FLO,R1991437
AT FLT,R3810848
AT FNA,W26963560
AT FNZ,R3805621
AT FOH,R37907
AT FPS,R108285
AT FRA,N240089863
AT FRE,N240107866
AT FRH,R105504
AT FRI,R948147
AT FRN,R102913
AT FRT,R75164
AT FSA,R75984
AT FSB,R52131
AT FSC,N240072578
AT FSD,R105568
AT FST,R110611
AT FSU,R87093
AT FTH,N176686704
AT FTL,R35391
AT FUF,R3913910
AT FUR,N240069105
AT FWG,N73732834
AT FXO,R110392
AT GA6,R3825396
AT GAA,R111939
AT GAB,R114939
AT GAE,N240059509
AT GAK,N126460646
AT GAL,R77046
AT GAN,R444325
AT GAS,R533283
AT GBD,R49520
AT GBF,R106804
AT GBG,R50594
AT GC5,N240099479
AT GDF,R123913
AT GDN,R60687
AT GER,N36432717
AT GET,R960483
AT GF2,R75318
AT GFS,N212757929
AT GFT,N1032979344
AT GFW,R107128
AT GGM,R106280
AT GGS,R86339
AT GGU,R78751
AT GGZ,R111075
AT GHF,R109114
AT GHH,R103600
AT GHJ,N240048155
AT GHR,R3837917
AT GKN,R34840
AT GLA,R106213
AT GLD,R104347
AT GLG,N240105686
AT GLI,N3921259035
AT GLO,R111513
AT GLZ,N240104815
AT GMA,R945083
AT GMB,R78250
AT GMI,R965569
AT GMK,R409587
AT GMM,N240111164
AT GMU,N37585033
AT GNA,R3936075
AT GND,N240117537
AT GNF,R106242
AT GNR,R1002070
AT GNS,R106199
AT GNZ,N240099652
AT GOE,R75231
AT GOF,R34884
AT GOL,R305073
AT GOT,R105904
AT GOW,R86204
AT GPF,R191729
AT GPK,R152069
AT GRA,R71111
AT GRF,N240068593
AT GRG,R86382
AT GRI,R313552
AT GRL,R111804
AT GRN,R909439
AT GRS,R959849
AT GRT,R87724
AT GRU,R3785485
AT GRZ,R34719
AT GS2,R75170
AT GSB,R945083
AT GSD,R36729
AT GSF,R555678
AT GSG,N338234119
AT GSH,R966449
AT GSN,R110431
AT GSS,R109707
AT GST,R3825568
AT GSU,R966974
AT GTD,R304256
AT GTL,R106256
AT GTN,R450735
AT GTW,R3805460
AT GUK,R63176
AT GUN,R152071
AT GWD,N123478747
AT GWF,R106257
AT GZR,N178470564
AT GZS,R943077
AT H3H,R104789
AT HAB,R89526
AT HAC,R966953
AT HAD,N240039409
AT HAE,R106610
AT HAG,R915329
AT HAL,N201721176
AT HAR,R114796
AT HAU,R105781
AT HBH,N240104778
AT HBL,R111936
AT HBR,R965584
AT HBZ,R74892
AT HCH,R958118
AT HDR,R52337
AT HEC,R962367
AT HED,R89620
AT HEI,R111472
AT HEL,R905496
AT HEO,R86629
AT HER,R134350
AT HFL,R50659
AT HFN,R79369
AT HFS,R1016938
AT HGB,R114780
AT HHG,N683214212
AT HIA,R958936
AT HIG,N240056265
AT HIH,R107260
AT HIM,N70193954
AT HIR,N240054084
AT HIT,R943445
AT HKM,R417548
AT HKN,R86264
AT HKR,R177076
AT HLB,N240034274
AT HLD,R409613
AT HLG,R87077
AT HLL,R86343
AT HLZ,N8149716732
AT HMD,N123722493
AT HMG,R377327
AT HMN,R34887
AT HNN,R111881
AT HOC,R85649
AT HOF,N6538114208
AT HOG,N906961703
AT HOH,R75358
AT HOL,R104797
AT HON,R105139
AT HOP,R67275
AT HOR,R106725
AT HOT,R109531
AT HRD,R75805
AT HRM,R109333
AT HRS,R103114
AT HRT,R3920889
AT HSE,R105115
AT HST,R75985
AT HTA,R37527
AT HTE,R111458
AT HTZ,R3810770
AT HUT,R975888
AT HZD,N129683499
AT HZF,N240051127
AT HZL,R177076
AT ICH,R68171
AT IEG,N86767131
AT ILL,R305583
AT ILZ,R3927637
AT IMS,R77102
AT INN,R4835169
AT INZ,R942847
AT IST,R75174
AT ITN,R113651
AT ITR,R276239
AT IZG,R282805
AT JDB,N3710199104
AT JDD,N240124158
AT JDF,R154493
AT JDN,R3896307
AT JEN,R83101
AT JGE,R36711
AT JOA,R990120
AT JOC,N1852842322
AT JOH,R85659
AT JOS,R77582
AT JPS,R452315
AT JSS,N240076244
AT JUN,R37848
AT JZS,R77795
AT K2R,R957784
AT K8B,N240061097
AT KAB,R83149
AT KAD,R3876844
AT KAF,N240099968
AT KAN,R130944
AT KAP,R945977
AT KAR,N240127457
AT KAT,N240034793
AT KAW,N393245704
AT KBA,R377696
AT KBF,R109500
AT KBG,R114756
AT KBW,N73711446
AT KBZ,N240034281
AT KCH,R51015
AT KDF,R34885
AT KDM,R49978
AT KDO,R104467
AT KDT,N240078402
AT KEU,R377778
AT KFB,R3912402
AT KFD,R3887065
AT KFH,R3872825
AT KFS,R85918
AT KFT,R85654
AT KHO,R1021663
AT KIE,N240108051
AT KIF,N123477629
AT KIN,R3902671
AT KIR,R966959
AT KIT,R85657
AT KKM,R87173
AT KLA,R75238
AT KLD,N240083812
AT KLG,N240072679
AT KLH,N240050113
AT KLU,R105870
AT KLZ,R87716
AT KMB,R127141
AT KME,R195314
AT KMG,N240102698
AT KMN,R413114
AT KMR,R34874
AT KMS,R63164
AT KN8,N240051793
AT KNB,R75795
AT KNR,R111506
AT KOB,R75182
AT KOE,R86578
AT KOG,R13736949
AT KOH,R185388
AT KOL,R78352
AT KOP,R86658
AT KOS,R85652
AT KOT,R446281
AT KPL,R77056
AT KRE,R8899249
AT KRI,R50990
AT KRL,R1016886
AT KRO,N240109165
AT KRS,R972055
AT KRZ,N240039310
AT KSE,R302042
AT KSP,R105572
AT KSS,R49823
AT KTE,R8758702
AT KTF,R51332
AT KTN,R112506
AT KTP,N240129853
AT KTT,R943197
AT KTU,R114956
AT KUB,N240089788
AT KUC,R86342
AT KUD,N186645262
AT KUN,R407817
AT KYB,R917995
AT KZL,R539321
AT LAA,R103035
AT LAG,R449486
AT LAN,R77346
AT LAS,R50798
AT LAU,N987637780
AT LBD,R111509
AT LBE,R127130
AT LBN,R49984
AT LBU,R8894785
AT LCK,R109412
AT LCU,R74906
AT LDG,R86316
AT LDO,R107333
AT LDS,N91178114
AT LEB,N240044130
AT LEC,R74794
AT LEI,R3820052
AT LEN,R1022957
AT LEO,R114757
AT LEZ,R156566
AT LFD,R77766
AT LFT,R534046
AT LGE,N240049914
AT LGN,R453753
AT LGR,R108380
AT LGU,R416876
AT LGW,R50983
AT LIB,R34699
AT LIW,R447299
AT LKN,R114957
AT LL6,R3928884
AT LLF,R535042
AT LLG,N148380140
AT LMB,R64464
AT LMU,R35195
AT LNH,R36151
AT LNT,R1020710
AT LNZ,R86708
AT LOB,R417627
AT LOE,N240123866
AT LOF,R918028
AT LOI,N88153640
AT LP4,R109133
AT LPB,R111042
AT LPD,N235974593
AT LPS,R86550
AT LRR,N31238968
AT LSD,R129477
AT LSH,R964341
AT LSN,R910866
AT LTD,N240120418
