comuna_name,locode,region_name,comuna_code,region_code
Chiguayante,CL CHI,Bío-Bío,CL08103,CL08
Florida,CL FLO,Bío-Bío,CL08104,CL08
Hualqui,CL HQI,Bío-Bío,CL08105,CL08
Lota,CL LTA,Bío-Bío,CL08106,CL08
Penco,CL PEO,Bío-Bío,CL08107,CL08
San Pedro de la Paz,CL SPP,Bío-Bío,CL08108,CL08
Santa Juana,CL SJU,Bío-Bío,CL08109,CL08
Talcahuano,CL TAL,Bío-Bío,CL08110,CL08
Tomé,CL TOM,Bío-Bío,CL08111,CL08
Hualpén,CL HPN,Bío-Bío,CL08112,CL08
Lebu,CL LEB,Bío-Bío,CL08201,CL08
Arauco,CL ARA,Bío-Bío,CL08202,CL08
Cañete,CL CTE,Bío-Bío,CL08203,CL08
Contulmo,CL CTM,Bío-Bío,CL08204,CL08
Curanilahue,CL CRN,Bío-Bío,CL08205,CL08
Los Alamos,CL LAL,Bío-Bío,CL08206,CL08
Tirúa,CL TIR,Bío-Bío,CL08207,CL08
Los Angeles,CL LSQ,Bío-Bío,CL08301,CL08
Antuco,CL ANT,Bío-Bío,CL08302,CL08
Cabrero,CL CAB,Bío-Bío,CL08303,CL08
Laja,CL LAJ,Bío-Bío,CL08304,CL08
Mulchén,CL MUL,Bío-Bío,CL08305,CL08
Nacimiento,CL NAC,Bío-Bío,CL08306,CL08
Negrete,CL NEG,Bío-Bío,CL08307,CL08
Quilaco,,Bío-Bío,CL08308,CL08
Quilleco,CL QLO,Bío-Bío,CL08309,CL08
San Rosendo,CL SRO,Bío-Bío,CL08310,CL08
Santa Bárbara,CL SBA,Bío-Bío,CL08311,CL08
Tucapel,CL TUC,Bío-Bío,CL08312,CL08
Yumbel,CL YUM,Bío-Bío,CL08313,CL08
Alto Biobío,,Bío-Bío,CL08314,CL08
Temuco,CL ZCO,La Araucanía,CL09101,CL09
Carahue,CL CAR,La Araucanía,CL09102,CL09
Cunco,CL CUN,La Araucanía,CL09103,CL09
Curarrehue,CL CRE,La Araucanía,CL09104,CL09
Freire,CL FRE,La Araucanía,CL09105,CL09
Galvarino,CL GAL,La Araucanía,CL09106,CL09
Gorbea,CL GOR,La Araucanía,CL09107,CL09
Lautaro,CL LAU,La Araucanía,CL09108,CL09
Loncoche,CL LNC,La Araucanía,CL09109,CL09
Melipeuco,CL MLP,La Araucanía,CL09110,CL09
Nueva Imperial,CL NIM,La Araucanía,CL09111,CL09
Padre Las Casas,CL PLC,La Araucanía,CL09112,CL09
Perquenco,CL PQC,La Araucanía,CL09113,CL09
Pitrufquén,CL PIT,La Araucanía,CL09114,CL09
Pucón,CL PUC,La Araucanía,CL09115,CL09
Saavedra,CL SAA,La Araucanía,CL09116,CL09
Teodoro Schmidt,CL TEO,La Araucanía,CL09117,CL09
Toltén,CL TOL,La Araucanía,CL09118,CL09
Vilcún,CL VCN,La Araucanía,CL09119,CL09
Villarrica,CL VIL,La Araucanía,CL09120,CL09
Cholchol,CL CHL,La Araucanía,CL09121,CL09
Angol,CL ANG,La Araucanía,CL09201,CL09
Collipulli,CL CPI,La Araucanía,CL09202,CL09
Curacautín,CL CCN,La Araucanía,CL09203,CL09
Ercilla,CL ERC,La Araucanía,CL09204,CL09
Lonquimay,CL LQY,La Araucanía,CL09205,CL09
Los Sauces,CL LSA,La Araucanía,CL09206,CL09
Lumaco,CL LUM,La Araucanía,CL09207,CL09
Purén,CL PUR,La Araucanía,CL09208,CL09
Renaico,CL RNO,La Araucanía,CL09209,CL09
Traiguén,CL TRA,La Araucanía,CL09210,CL09
Victoria,CL ZIC,La Araucanía,CL09211,CL09
Puerto Montt,CL PMC,Los Lagos,CL10101,CL10
Calbuco,CL CBC,Los Lagos,CL10102,CL10
Cochamó,,Los Lagos,CL10103,CL10
Fresia,CL FRS,Los Lagos,CL10104,CL10
Frutillar,CL FRT,Los Lagos,CL10105,CL10
Los Muermos,CL LMU,Los Lagos,CL10106,CL10
Llanquihue,CL LIA,Los Lagos,CL10107,CL10
Maullín,CL MLL,Los Lagos,CL10108,CL10
Puerto Varas,CL PVS,Los Lagos,CL10109,CL10
Castro,CL WCA,Los Lagos,CL10201,CL10
Ancud,CL ZUD,Los Lagos,CL10202,CL10
Chonchi,CL CHO,Los Lagos,CL10203,CL10
Curaco de Vélez,CL CDV,Los Lagos,CL10204,CL10
Dalcahue,CL DCH,Los Lagos,CL10205,CL10
Puqueldón,CL PQD,Los Lagos,CL10206,CL10
Queilén,CL QLN,Los Lagos,CL10207,CL10
Quellón,CL PTE,Los Lagos,CL10208,CL10
Quemchi,CL QMC,Los Lagos,CL10209,CL10
Quinchao,CL QCO,Los Lagos,CL10210,CL10
Osorno,CL ZOS,Los Lagos,CL10301,CL10
Puerto Octay,CL POC,Los Lagos,CL10302,CL10
Purranque,CL PRQ,Los Lagos,CL10303,CL10
Puyehue,CL CSA,Los Lagos,CL10304,CL10
Río Negro,CL RNE,Los Lagos,CL10305,CL10
San Juan de la Costa,CL SJC,Los Lagos,CL10306,CL10
San Pablo,CL SPB,Los Lagos,CL10307,CL10
Chaitén,CL WCH,Los Lagos,CL10401,CL10
Futaleufú,CL FFU,Los Lagos,CL10402,CL10
Hualaihué,,Los Lagos,CL10403,CL10
Palena,CL PAL,Los Lagos,CL10404,CL10
Coyhaique,CL CXQ,Aysén del Gral. Ibañez del Campo,CL11101,CL11
Lago Verde,CL LVD,Aysén del Gral. Ibañez del Campo,CL11102,CL11
Aysén,CL PSN,Aysén del Gral. Ibañez del Campo,CL11201,CL11
Cisnes,,Aysén del Gral. Ibañez del Campo,CL11202,CL11
Guaitecas,,Aysén del Gral. Ibañez del Campo,CL11203,CL11
Cochrane,CL COC,Aysén del Gral. Ibañez del Campo,CL11301,CL11
O'Higgins,CL OHI,Aysén del Gral. Ibañez del Campo,CL11302,CL11
Tortel,,Aysén del Gral. Ibañez del Campo,CL11303,CL11
Chile Chico,CL CCH,Aysén del Gral. Ibañez del Campo,CL11401,CL11
Río Ibáñez,CL RIB,Aysén del Gral. Ibañez del Campo,CL11402,CL11
Punta Arenas,CL PUQ,Magallanes y Antártica Chilena,CL12101,CL12
Laguna Blanca,,Magallanes y Antártica Chilena,CL12102,CL12
Río Verde,CL RVE,Magallanes y Antártica Chilena,CL12103,CL12
San Gregorio,CL SGR,Magallanes y Antártica Chilena,CL12104,CL12
Cabo de Hornos,,Magallanes y Antártica Chilena,CL12201,CL12
Porvenir,CL PVR,Magallanes y Antártica Chilena,CL12301,CL12
Primavera,CL PRI,Magallanes y Antártica Chilena,CL12302,CL12
Timaukel,CL TIM,Magallanes y Antártica Chilena,CL12303,CL12
Natales,CL CVJ,Magallanes y Antártica Chilena,CL12401,CL12
Torres del Paine,CL TDP,Magallanes y Antártica Chilena,CL12402,CL12
Santiago,CL SCL,Metropolitana de Santiago,CL13101,CL13
Cerrillos,CL CER,Metropolitana de Santiago,CL13102,CL13
Cerro Navia,,Metropolitana de Santiago,CL13103,CL13
Conchalí,,Metropolitana de Santiago,CL13104,CL13
El Bosque,,Metropolitana de Santiago,CL13105,CL13
Estación Central,,Metropolitana de Santiago,CL13106,CL13
Huechuraba,CL HUE,Metropolitana de Santiago,CL13107,CL13
Independencia,CL IND,Metropolitana de Santiago,CL13108,CL13
La Cisterna,CL LCI,Metropolitana de Santiago,CL13109,CL13
La Florida,CL LFL,Metropolitana de Santiago,CL13110,CL13
La Granja,,Metropolitana de Santiago,CL13111,CL13
La Pintana,,Metropolitana de Santiago,CL13112,CL13
La Reina,CL REI,Metropolitana de Santiago,CL13113,CL13
Las Condes,,Metropolitana de Santiago,CL13114,CL13
Lo Barnechea,CL LBA,Metropolitana de Santiago,CL13115,CL13
Lo Espejo,CL LEJ,Metropolitana de Santiago,CL13116,CL13
Lo Prado,CL LPR,Metropolitana de Santiago,CL13117,CL13
Macul,CL MAC,Metropolitana de Santiago,CL13118,CL13
Maipú,CL MAI,Metropolitana de Santiago,CL13119,CL13
Ñuñoa,CL NUN,Metropolitana de Santiago,CL13120,CL13
Pedro Aguirre Cerda,,Metropolitana de Santiago,CL13121,CL13
Peñalolén,CL PLN,Metropolitana de Santiago,CL13122,CL13
Providencia,CL PRO,Metropolitana de Santiago,CL13123,CL13
Pudahuel,CL PUD,Metropolitana de Santiago,CL13124,CL13
Quilicura,CL QUI,Metropolitana de Santiago,CL13125,CL13
Quinta Normal,,Metropolitana de Santiago,CL13126,CL13
Recoleta,CL REC,Metropolitana de Santiago,CL13127,CL13
Renca,CL REN,Metropolitana de Santiago,CL13128,CL13
San Joaquín,CL SJQ,Metropolitana de Santiago,CL13129,CL13
San Miguel,CL SMG,Metropolitana de Santiago,CL13130,CL13
San Ramón,,Metropolitana de Santiago,CL13131,CL13
Vitacura,CL VIT,Metropolitana de Santiago,CL13132,CL13
Puente Alto,CL PTA,Metropolitana de Santiago,CL13201,CL13
Pirque,CL PIR,Metropolitana de Santiago,CL13202,CL13
San José de Maipo,CL SJM,Metropolitana de Santiago,CL13203,CL13
Colina,CL CLN,Metropolitana de Santiago,CL13301,CL13
Lampa,CL LAM,Metropolitana de Santiago,CL13302,CL13
Tiltil,CL TIL,Metropolitana de Santiago,CL13303,CL13
San Bernardo,CL SBD,Metropolitana de Santiago,CL13401,CL13
Buin,CL BUI,Metropolitana de Santiago,CL13402,CL13
Calera de Tango,CL CDT,Metropolitana de Santiago,CL13403,CL13
Paine,CL PNE,Metropolitana de Santiago,CL13404,CL13
Melipilla,CL MEL,Metropolitana de Santiago,CL13501,CL13
Alhué,CL ALH,Metropolitana de Santiago,CL13502,CL13
Curacaví,CL CRV,Metropolitana de Santiago,CL13503,CL13
María Pinto,CL MPI,Metropolitana de Santiago,CL13504,CL13
San Pedro,CL SPE,Metropolitana de Santiago,CL13505,CL13
Talagante,CL TLG,Metropolitana de Santiago,CL13601,CL13
El Monte,CL ELM,Metropolitana de Santiago,CL13602,CL13
Isla de Maipo,CL IDM,Metropolitana de Santiago,CL13603,CL13
Padre Hurtado,CL PHU,Metropolitana de Santiago,CL13604,CL13
Peñaflor,CL PFL,Metropolitana de Santiago,CL13605,CL13
Valdivia,CL ZAL,Los Ríos,CL14101,CL14
Corral,CL CRR,Los Ríos,CL14102,CL14
Lanco,CL LAN,Los Ríos,CL14103,CL14
Los Lagos,CL LLG,Los Ríos,CL14104,CL14
Máfil,CL MAF,Los Ríos,CL14105,CL14
Mariquina,,Los Ríos,CL14106,CL14
Paillaco,CL PAO,Los Ríos,CL14107,CL14
Panguipulli,CL PAN,Los Ríos,CL14108,CL14
La Unión,CL LUN,Los Ríos,CL14201,CL14
Futrono,CL FUT,Los Ríos,CL14202,CL14
Lago Ranco,CL RNC,Los Ríos,CL14203,CL14
Río Bueno,,Los Ríos,CL14204,CL14
Arica,CL ARI,Arica y Parinacota,CL15101,CL15
Camarones,CL CAM,Arica y Parinacota,CL15102,CL15
Putre,CL PUT,Arica y Parinacota,CL15201,CL15
General Lagos,CL GLG,Arica y Parinacota,CL15202,CL15
Chillán,CL YAI,Ñuble,CL16101,CL16
Bulnes,CL BUL,Ñuble,CL16102,CL16
Chillán Viejo,CL CHV,Ñuble,CL16103,CL16
El Carmen,CL ELC,Ñuble,CL16104,CL16
Pemuco,CL PEM,Ñuble,CL16105,CL16
Pinto,CL PIN,Ñuble,CL16106,CL16
Quillón,CL QIN,Ñuble,CL16107,CL16
San Ignacio,CL SIN,Ñuble,CL16108,CL16
Yungay,CL YUN,Ñuble,CL16109,CL16
Quirihue,CL QRH,Ñuble,CL16201,CL16
Cobquecura,CL CBQ,Ñuble,CL16202,CL16
Coelemu,CL COE,Ñuble,CL16203,CL16
Ninhue,CL NIN,Ñuble,CL16204,CL16
Portezuelo,CL POR,Ñuble,CL16205,CL16
Ranquil,CL RAN,Ñuble,CL16206,CL16
Treguaco,CL TRE,Ñuble,CL16207,CL16
San Carlos,CL SCR,Ñuble,CL16301,CL16
Coihueco,CL COI,Ñuble,CL16302,CL16
Ñiquén,CL NQN,Ñuble,CL16303,CL16
San Fabián,CL SFN,Ñuble,CL16304,CL16
San Nicolás,CL SNI,Ñuble,CL16305,CL16
