region,formula_input_value,formula_input_units,datasource,actor_id,gas,parameter_code,parameter_name,year,formula_name,metadata,rnk,methodology_name,gpc_refno,methodology_id,formulainput_id
Ecuador,66.0,g/capita/day,FAO stat,EC,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,9c2abbfb-57db-4860-a259-cb2dba144c97
Egypt,102.0,g/capita/day,FAO stat,EG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,e91375b5-7640-4bd9-bdeb-7d9e42377cbd
El Salvador,70.0,g/capita/day,FAO stat,SV,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,beb3072b-b396-4714-acda-ca0c59806c21
Estonia,96.0,g/capita/day,FAO stat,EE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,114fae7e-8e25-4f01-b3cc-aaabb0c3a225
Ethiopia,61.0,g/capita/day,FAO stat,ET,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ba22b7b4-19f5-4b82-b1fb-640db89922d0
Fiji,74.0,g/capita/day,FAO stat,FJ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,52fcb02b-dec1-4268-a2b9-cf4009164bb0
Finland,112.0,g/capita/day,FAO stat,FI,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,16ace159-473e-496b-8c1c-5e12d0dccc95
France,113.0,g/capita/day,FAO stat,FR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,3b4acd5d-41f5-450a-b665-23c0cca6e9fd
Gabon,82.0,g/capita/day,FAO stat,GA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,d2b0f047-ef8a-4f32-b5b2-c0d4385e1537
Gambia,67.0,g/capita/day,FAO stat,GM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1e68e3d2-0513-429a-a289-149f3b4a92d2
Georgia,75.0,g/capita/day,FAO stat,GE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,6749f523-9811-4704-907b-eecfb47268c6
Germany,103.0,g/capita/day,FAO stat,DE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1cd8b9e3-ac99-4d57-8a80-4482be1e7620
Ghana,60.0,g/capita/day,FAO stat,GH,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,dad3f5bd-aa36-40c5-896b-df30073ef999
Greece,112.0,g/capita/day,FAO stat,GR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,f94f2c5a-6018-4c43-8b72-2cbb6461c094
Guatemala,64.0,g/capita/day,FAO stat,GT,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,33161e0e-ddc4-4d28-95ba-d2f7a6e82f20
Guinea,54.0,g/capita/day,FAO stat,GN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,7ab26bf0-a820-4bbd-baa9-3bef867fb9e3
Guinea-Bissau,43.0,g/capita/day,FAO stat,GW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,468e7212-be84-4e54-90bd-1a48e0971006
