gas,parameter_code,parameter_name,methodology_name,gpc_refno,year,formula_input_value,formula_input_units,formula_name,metadata,region,actor_id,datasource,rnk,methodology_id,formulainput_id
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.3,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,GE,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,fd797944-dc0c-4af1-bf44-f2ebe27633be
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.3,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,SY,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,d3c11eeb-5277-472b-bd1c-8464447ef683
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.3,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,TH,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,7f745871-32ac-46e9-99e6-e2568a61d93d
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.3,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,RW,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,18eed9be-069a-489e-ab3e-4b31487f6e85
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.3,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,HN,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,4bdc0fde-b2f0-4e77-b26c-d8d127cfbb99
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",world,world,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,f3af7faa-47b6-484c-8efb-00868ce4d93e
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,DJ,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,2a7f6fff-3aa9-48fc-8ed0-937462918166
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,ER,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,d092d6e6-8be2-4883-a217-8183117d5bf8
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,GE,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,eb8d97eb-31a3-47bf-aa7e-13246440ef5e
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,ID,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,e75fc5ff-d81d-45eb-a652-3befaf1e1346
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,KW,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,12fdf7b4-25e5-427e-8410-02e07d1c2471
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,MV,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,80608097-81bc-4ece-b8bc-4321fa536358
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,BO,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,019aabc8-1ef8-4b4a-97f7-611fdc67da0c
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,CR,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,23868b77-028d-4833-99a7-eb63981e7f0d
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,GT,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,5dce75e1-4a61-4e83-bc9c-dc6febe241c4
CH4,MCF,methane-correction-factor,wastewater-inside-industrial-calculator-activity,III.4.1,,0.9,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Latin America And Caribbean,JM,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,0d9116d6-7be2-4cfc-9b5b-725ecab52aab
